speaker,pos
A,Why/WRB are/VBP you/PRP up/IN so/RB late/RB ?/.
A,It/PRP is/VBZ nearly/RB 3/CD in/IN the/DT morning/NN ./.
B,I/PRP am/VBP up/RB this/DT late/JJ because/IN of/IN the/DT NLP/NNP Demo/NNP tomorrow/NN ./.
A,Ohh/NN !/. Offcourse/NN ./.
A,The/DT final/JJ presentation/NN day/NN ./.
B,More/RBR like/IN D-Day/NNP ./.
B,Apparently/RB we/PRP are/VBP supposed/VBN to/TO think/VB about/IN a/DT project/NN ./.
B,Research/NN about/IN it/PRP ./.
B,Execute/VB it/PRP and/CC then/RB improve/VB upon/IN it/PRP ./.
B,And/CC then/RB finally/RB present/VB it/PRP all/DT in/IN a/DT span/NN of/IN a/DT month/NN ./.
A,Who/WP is/VBZ teaching/VBG you/PRP the/DT course/NN ?/.
B,Prof/NNP ./. Mausam/NNP ./.
A,Uh-Huh/NN !/.
A,I/PRP took/VBD a/DT course/NN under/IN him/PRP last/JJ semester/NN ./.
A,What/WP is/VBZ project/NN about/IN ?/.
B,I/PRP am/VBP actually/RB working/VBG on/IN Conversation/NNP Summarization/NNP ./.
B,It/PRP is/VBZ supposed/VBN to/TO be/VB a/DT novel/JJ pipeline/NN for/IN abstractive/JJ summarization/NN of/IN conversations/NNS ./.
C,Will/MD you/PRP stop/VB talking/VBG and/CC focus/VB on/IN the/DT work/NN already/RB !/.
B,I/PRP need/VBP a/DT break/NN ./.
B,I/PRP am/VBP going/VBG to/TO the/DT night/NN mess/NN ./.
B,What/WP will/MD you/PRP eat/VB ?/.
C,do/VB not/RB assume/VB I/PRP always/RB wanna/VBP eat/NN ./.
B,Um/NN
C,Ok/JJ fine/NN ./. I/PRP will/MD eat/VB Paneer/NNP Paratha/NNP ./.
A,I/PRP am/VBP assuming/VBG you/PRP have/VBP a/DT dataset/NN for/IN the/DT demo/NN ready/NN ./.
C,You/PRP really/RB have/VBP to/TO ask/VB ?/.
A,What/WP is/VBZ on/IN your/PRP$ mind/NN ?/.
C,"Well/RB ,/, what/WP we/PRP are/VBP doing/VBG right/RB now/RB is/VBZ a/DT conversation/NN ./."
C,I/PRP can/MD use/VB this/DT in/IN the/DT demo/NN ./.
A,So/RB I/PRP am/VBP being/VBG monitored/VBN right/RB now/RB ?/.
C,Yeah/UH ./.
C,You/PRP can/MD say/VB that/DT ./.
B,Here's/NNP your/PRP$ Paratha/NNP ./.
B,So/IN what/WP are/VBP we/PRP talking/VBG about/IN ?/.
C,We/PRP are/VBP talking/VBG about/IN nothing/NN ./.
C,Your/PRP$ part/NN of/IN the/DT pipeline/NN is/VBZ still/RB unfinished/JJ ./.
C,it/PRP is/VBZ the/DT most/RBS important/JJ part/NN ./.
C,It/PRP needs/VBZ to/TO be/VB finished/VBN immediately/RB !/.
A,I/PRP think/VBP I/PRP will/MD leave/VB you/PRP guys/VBP alone/RB ./.
A,Best/JJS of/IN luck/NN for/IN the/DT demo/NN ./.
B,Thank/NN You/PRP
C,Thanks/NNS man/NN ./.
