act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",B,Yeah/UH ./.,Yeah. /
"fo_o_fw_""_by_bc",A,"Okay/UH ,/,","Okay, /"
qy,A,so/UH you/PRP enjoy/VBP camping/NN ?/.,{C so } you enjoy camping? /
ny,B,"Oh/UH ,/, yeah/UH ./.","{F Oh, } yeah. /"
b,A,Yeah/UH ./.,Yeah. /
sd,B,"I/PRP ,/, uh/UH --/:","[ I, + {F uh } --"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,"--/: like/IN you/PRP ,/, I/PRP have/VBP n't/RB done/VBN any/DT in/IN quite/RB some/DT time/NN --/:","-- like you, I ] haven't done any in quite some time --"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,--/: except/IN for/IN what/WP I/PRP call/VBP living/VBG now/RB --/:,-- except for what I call living now <laughter> --
b,A,Yeah/UH ./.,Yeah <laughter>. /
+,B,"--/: which/WDT is/VBZ ,/, which/WDT is/VBZ very/RB close/RB to/IN camping/VBG ./.","-- [ which is, + which is ] very close to camping <laughter>. /"
qy,A,Is/VBZ it/PRP ?/.,Is it? /
b,A,Uh-huh/UH ./.,Uh-huh. /
ny,B,Yeah/UH ./.,Yeah. /
sd,B,"You/PRP know/VBP ,/, I/PRP ,/, uh/UH ,/, camped/VBD in/IN the/DT Boy/NNP Scouts/NNPS","{D You know, } I, {F uh, } camped in the Boy Scouts /"
sd,B,"and/CC ,/, you/PRP know/VBP ,/, my/PRP$ dad/NN and/CC I/PRP went/VBD out/RB sometimes/RB","{C and, } {D you know, } my dad and I went out sometimes /"
sd,B,but/CC --/:,{C but } --
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,"--/: uh/UH ,/, even/RB my/PRP$ first/RB ,/, uh/UH ,/, eight/CD or/CC nine/CD years/NNS of/IN working/VBG ,/, I/PRP camped/VBD almost/RB all/DT of/IN the/DT time/NN because/IN I/PRP was/VBD in/IN construction/NN ./.","-- {F uh, } even my first, {F uh, } eight or nine years of working, I camped almost all of the time because I was in construction. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,And/CC it/PRP is/VBZ cheaper/JJR to/TO pitch/VB a/DT tent/NN and/CC cook/VB your/PRP$ meals/NNS out/IN by/IN the/DT fire/NN than/IN it/PRP is/VBZ to/TO rent/VB an/DT apartment/NN --/:,{C And } it is cheaper to pitch a tent and cook your meals out by the fire than it is to rent an apartment --
b,A,Yeah/UH ./.,Yeah. /
+,B,--/: add/VB to/TO stress/NN ./.,-- add to stress. /
sv,B,"I/PRP mean/VBP ,/, when/WRB you/PRP have/VBP to/TO have/VB it/PRP ,/, you/PRP have/VBP got/VBN to/TO have/VB it/PRP ./.","{E I mean, } when you have to have it, you have got to have it. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sv,B,"And/CC ,/, you/PRP know/VBP ,/, in/IN those/DT those/DT kinds/NNS of/IN situations/NNS ,/, uh/UH ,/, room/NN rent/NN which/WDT is/VBZ outrageous/JJ ./.","{C And, } {D you know, } in those those kinds of situations, {F uh, } room rent which is outrageous. -/"
b,A,Uh-huh/UH ./.,Uh-huh. /
b,A,Yeah/UH ./.,Yeah. /
sd,B,"So/UH ,/, my/PRP$ buddy/NN and/CC I/PRP ,/, we/PRP just/RB camped/VBD ./.","{C So, } my buddy and I, we just camped <laughter>. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"And/CC we/PRP figured/VBD ,/, what/WP the/DT hell/NN ,/,","{C And } we figured, what the hell, /"
sd,B,we/PRP did/VBD it/PRP when/WRB we/PRP were/VBD kids/NNS,we did it when we were kids /
sd,B,and/CC we/PRP loved/VBD it/PRP ./.,{C and } we loved it. /
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"Of/IN course/NN ,/, we/PRP did/VBD n't/RB really/RB rough/VB it/PRP that/RB much/JJ ./.","Of course, we didn't really rough it that much. /"
%,B,"When/WRB ,/, when/WRB I/PRP was/VBD in/IN high/JJ school/NN ,/,","[ When, + when ] I was in high school, - /"
sd,B,he/PRP is/VBZ a/DT couple/NN years/NNS older/JJR than/IN me/PRP,he is a couple years older than me /
sd,B,"and/CC ,/, uh/UH ,/, he/PRP graduated/VBD and/CC went/VBD off/RB to/IN college/NN","{C and, } {F uh, } he graduated and went off to college /"
sd,B,"and/CC ,/, uh/UH ,/, during/IN the/DT summer/NN we/PRP would/MD camp/VB out/RB at/IN the/DT lake/NN ./.","{C and, } {F uh, } during the summer we would camp out at the lake. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,But/CC it/PRP was/VBD n't/RB very/RB much/RB like/IN camping/NN because/IN we/PRP had/VBD a/DT refrigerator/NN and/CC a/DT stove/NN ./.,{C But } it wasn't very much like camping because we had a refrigerator and a stove <laughter>. /
b,A,"Oh/UH ,/, well/UH ./. Yeah/UH ./.","{F Oh, } {D well } <laughter>. Yeah. /"
sd,B,"You/PRP know/VBP ,/, I/PRP had/VBD a/DT little/JJ boat/NN house/NN and/CC floated/VBD it/PRP out/IN on/IN Lake/NNP Grapevine/NNP ./.","{D You know, } I had a little boat house and floated it out on Lake Grapevine. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"And/CC ,/, uh/UH ,/, well/UH ,/, it/PRP was/VBD fantastic/JJ ./.","{C And, } {F uh, } {D well, } it was fantastic. /"
sd,B,"We/PRP would/MD get/VB up/RP in/IN the/DT morning/NN ,/, go/VB skiing/NN ,/, uh/UH ,/,","We would get up in the morning, go skiing, {F uh, } /"
sd,B,that/WDT substituted/VBD for/IN a/DT shower/NN --/:,that substituted for a shower <laughter> -- /
b,A,Uh-huh/UH,Uh-huh /
x,A,./.,<laughter>.
sd,B,"--/: and/CC then/RB we/PRP would/MD go/VB to/IN work/NN and/CC uh/UH ,/, come/VB back/RB to/IN the/DT ,/, uh/UH ,/, you/PRP know/VBP ,/, boat/NN house/NN at/IN night/NN","-- {C and then } we would go to work and {F uh, } come back to the, {F uh, } {D you know, } boat house at night /"
sd,B,"and/CC ,/, uh/UH ,/, in/IN the/DT afternoon/NN ,/, you/PRP know/VBP ,/, it/PRP is/VBZ still/RB four/CD o'clock/RB ./.","{C and, } {F uh, } in the afternoon, {D you know, } it is still four o'clock. /"
sd,B,"You/PRP have/VBP got/VBN four/CD hours/NNS of/IN day/NN light/NN ,/, good/JJ skiing/NN left/VBD ./.","You have got four hours of day light, good skiing left. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"And/CC ,/, uh/UH ,/, it/PRP was/VBD great/JJ ./.","{C And, } {F uh, } it was great. /"
b,A,Yeah/UH ./.,Yeah. /
sd,B,"But/CC ,/, uh/UH ,/, you/PRP know/VBP ,/, now/RB all/RB my/PRP$ life/NN is/VBZ more/RBR like/IN camping/NN than/IN not/RB camping/NN really/RB ./.","{C But, } {F uh, } {D you know, } now all my life is more like camping than not camping really. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
qy,A,Do/VBP you/PRP have/VB electricity/NN out/IN there/RB ./.,Do you have electricity out there. /
ny,B,"Oh/UH ,/, yeah/UH ./.","{F Oh, } yeah. /"
b,A,Yeah/UH ./.,Yeah. /
sv,A,You/PRP 've/VBP got/VBN a/DT phone/NN obviously/RB ./.,You've got a phone obviously <laughter>. /
aap_am,B,"Well/UH ,/, actually/RB as/IN a/DT matter/NN of/IN fact/NN ,/, they/PRP just/RB ran/VBD the/DT phone/NN three/CD years/NNS ago/RB ./.","{D Well, } actually as a matter of fact, they just ran the phone three years ago. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,We/PRP did/VBD n't/RB have/VB a/DT phone/NN ./.,We didn't have a phone. /
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,They/PRP did/VBD n't/RB have/VB phone/NN lines/NNS ./.,They didn't have phone lines. /
sd,B,You/PRP just/RB could/MD n't/RB get/VB phones/NNS ./.,You just couldn't get phones. /
b,A,Yeah/UH ./.,Yeah. /
sd,B,"And/CC ,/, uh/UH ,/, we/PRP are/VBP on/IN the/DT ,/, we/PRP are/VBP third/JJ from/IN the/DT end/NN on/IN the/DT electric/JJ string/NN ./.","{C And, } {F uh, } [ we are on the, + we are third from the end on the ] electric string. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"So/RB ,/, we/PRP are/VBP at/IN the/DT end/NN of/IN the/DT mail/NN route/NN ./.","{C So, } we are at the end of the mail route <laughter>. /"
b,A,Yeah/UH ./.,Yeah. /
sv,B,"Like/IN I/PRP said/VBD ,/, we/PRP are/VBP probably/RB as/RB far/RB as/IN you/PRP can/MD get/VB from/IN the/DT Seven/NNP Eleven/NNP and/CC still/RB be/VB in/IN Texas/NNP ./.","Like I said, we are probably as far as you can get from the Seven Eleven and still be in Texas. /"
aa,A,"Yeah/UH ,/,","Yeah, /"
aap_am,A,"I/PRP guess/VBP so/RB ,/, huh/UH ./.","I guess so, {F huh. } /"
sd,B,"But/CC ,/, uh/UH ,/, you/PRP know/VBP ,/, right/RB now/RB ,/, uh/UH ,/, what/WP we/PRP did/VBD ,/, my/PRP$ wife/NN and/CC I/PRP ,/, is/VBZ we/PRP got/VBD a/DT mobile/JJ home/NN ./.","{C But, } {F uh, } {D you know, } right now, {F uh, } what we did, my wife and I, is we got a mobile home."
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,"One/CD of/IN these/DT twelve/CD by/IN forty-eight/CD 's/NNS that/WDT got/VBD repoed/VBN ,/,","One of these twelve by forty-eight's that got repoed,"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,"And/CC ,/, uh/UH ,/, swapped/VBD them/PRP a/DT Cadillac/NNP for/IN it/PRP and/CC put/VBD it/PRP out/IN here/RB on/IN the/DT land/NN figuring/VBG I/PRP would/MD build/VB a/DT house/NN some/DT day/NN ,/, you/PRP know/VBP ./.","And, {F uh, } swapped them a Cadillac for it and put it out here on the land figuring I would build a house some day, {D you know. } /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,I/PRP 'm/VBP in/IN construction/NN,I'm in construction /
