act_tag,speaker,pos,text
sd,A,"Uh/UH ,/, I/PRP do/VBP n't/RB go/VB to/IN the/DT movies/NNS a/DT whole/JJ lot/NN ,/,","{F Uh, } I don't go to the movies a whole lot, /"
sd,A,"but/CC ,/, uh/UH ,/, I/PRP went/VBD two/CD or/CC three/CD weeks/NNS ago/RB for/IN the/DT first/JJ time/NN in/IN a/DT long/JJ time/NN and/CC saw/VBD DANCES/VBZ WITH/IN WOLVES/NNS ,/, which/WDT turned/VBD out/RP to/TO be/VB an/DT extremely/RB good/JJ movie/NN ./.","{C but, } {F uh, } I went two or three weeks ago for the first time in a long time and saw DANCES WITH WOLVES, which turned out to be an extremely good movie. /"
sd,B,I/PRP have/VBP n't/RB seen/VBN that/DT yet/RB ./.,I haven't seen that yet. /
%,B,"I/PRP ,/, I/PRP ,/, I/PRP hear/VBP ,/,","[ [ I, + I, ] + I ] hear, - /"
sd,B,"we/PRP ,/, a/DT whole/JJ bunch/NN of/IN us/PRP were/VBD going/VBG to/TO go/VB see/VB it/PRP ./.","[ we, + a whole bunch of us ] were going to go see it. /"
sd,B,"It/PRP 's/BES playing/VBG at/IN school/NN actually/UH in/IN about/RB two/CD weeks/NNS ,/, I/PRP guess/VBP ./.","It's playing at school {D actually } in about two weeks, I guess. /"
sd,B,So/RB we/PRP 're/VBP going/VBG to/TO go/VB see/VB that/DT ./.,{C So } we're going to go see that. /
qy,B,But/CC you/PRP enjoyed/VBD that/DT ?/.,{C But } you enjoyed that? /
ny,A,"Yeah/UH ,/,","Yeah, /"
sd,A,"it/PRP 's/BES ,/, it/PRP 's/BES something/NN that/WDT ,/, uh/UH ,/,","[ it's, + it's ] something that, {F uh, } - /"
sd,A,"my/PRP$ brother/NN lives/VBZ over/IN in/IN Fort/NNP Worth/NNP ,/,","my brother lives over in Fort Worth, /"
sd,A,"and/CC I/PRP was/VBD telling/VBG him/PRP about/RB a/DT couple/NN of/IN weeks/NNS ago/RB ,/,","{C and } I was telling him about a couple of weeks ago, /"
sd,A,"and/CC he/PRP said/VBD ,/, Well/UH I/PRP 'll/MD wait/VB until/IN it/PRP comes/VBZ out/RP on/IN ,/, uh/UH ,/, tape/NN and/CC rent/VB ,/, rent/VB the/DT video/NN ./.","{C and } he said, {D Well } I'll wait until it comes out on, {F uh, } tape and [ rent, + rent ] the video. /"
sd,A,"And/CC I/PRP said/VBD ,/, no/UH ,/,","{C And } I said, no, /"
^q,A,this/DT is/VBZ not/RB one/NN that/WDT you/PRP want/VBP to/TO do/VB that/DT with/IN ./.,this is not one that you want to do that with. /
sd,B,"That/DT 's/BES what/WP I/PRP heard/VBD ,/,","That's what I heard, /"
%,B,yeah/UH ./.,yeah. /
sd,A,"It/PRP 's/BES ,/, uh/UH ,/, the/DT scenery/NN and/CC the/DT landscape/NN and/CC the/DT country/NN that/WDT they/PRP 're/VBP in/IN needs/VBZ a/DT big/JJ screen/NN ./.","[ It's, + {F uh, } the scenery ] and the landscape and the country that they're in needs a big screen. /"
sd,A,"It/PRP 's/BES just/RB beautiful/JJ country/NN with/IN the/DT hills/NNS and/CC the/DT trees/NNS and/CC the/DT buffalo/NNS and/CC the/DT whole/JJ thing/NN ,/,","It's just beautiful country with the hills and the trees and the buffalo and the whole thing, /"
sd,A,"it/PRP 's/BES just/RB ,/, uh/UH ,/, just/RB amazing/JJ ,/, amazing/JJ picture/NN ./.","it's [ just, + {F uh, } just ] amazing, amazing picture. /"
