act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",A,I/PRP do/VBP n't/RB know/VB ./.,I don't know. /
sd,A,"I/PRP grew/VBD up/RP ,/, uh/UH ,/, in/IN the/DT ,/, the/DT sixties/NNS ,/,","I grew up, {F uh, } in [ the, + the ] sixties, /"
sd,A,"and/CC at/IN that/DT time/NN ,/, uh/UH ,/, it/PRP was/VBD is/VBZ a/DT changing/VBG time/NN for/IN the/DT whole/JJ music/NN scene/NN ,/, I/PRP guess/VBP","{C and } at that time, {F uh, } it was [ is + ] a changing time for the whole music scene, I guess /"
sd,A,"and/CC I/PRP grew/VBD up/RP with/IN the/DT Beatles/NNPS and/CC the/DT Rolling/NNP Stones/NNPS and/CC the/DT whole/JJ pot/NN culture/NN during/IN that/DT time/NN and/CC went/VBD through/IN that/DT phase/NN and/CC kind/RB of/RB stayed/VBD with/IN it/PRP I/PRP guess/VBP for/IN several/JJ years/NNS after/IN I/PRP graduated/VBD from/IN college/NN and/CC ,/, and/CC thereafter/RB","{C and } I grew up with the Beatles and the Rolling Stones and the whole pot culture during that time and went through that phase and kind of stayed with it I guess for several years after I graduated from college [ and, + and ] thereafter /"
%,A,"but/CC have/VBP since/IN ,/, uh/UH ,/,","{C but } have since, {F uh, } - /"
sd,A,"I/PRP grew/VBD up/RP in/IN a/DT small/JJ town/NN in/IN ,/, in/IN southern/JJ Oklahoma/NNP","I grew up in a small town [ in, + in ] southern Oklahoma /"
sd,A,"I/PRP have/VBP kind/RB of/RB gone/VBN back/RB to/IN ,/, uh/UH ,/, more/RBR of/IN a/DT county/^NN ,/, uh/UH ,/, flavor/NN in/IN music/NN ./.","I have kind of gone back to, {F uh, } more of a county, {F uh, } flavor in music. /"
sd,A,"Um/UH ,/, I/PRP 'm/VBP not/RB quite/RB sure/JJ why/WRB that/DT is/VBZ","{F Um, } I'm not quite sure why that is /"
sd,A,"and/CC it/PRP seems/VBZ like/IN almost/RB a/DT opposite/NN ,/,","{C and } it seems like almost a opposite, /"
sd,A,"but/CC I/PRP guess/VBP I/PRP got/VBD away/RB from/IN what/WP I/PRP consider/VBP to/TO be/VB the/DT pot/NN ,/, uh/UH ,/, sounding/JJ music/NN ./.","{C but } I guess I got away from what I consider to be the pot, {F uh, } sounding music. /"
sd,A,"It/PRP did/VBD n't/RB have/VB what/WP ,/, you/PRP know/VBP ,/, I/PRP guess/VBP what/WP I/PRP was/VBD looking/VBG for/IN at/IN the/DT time/NN country/NN tells/VBZ more/JJR of/IN a/DT ,/, a/DT story/NN ./.","It didn't have [ what, + {D you know, } I guess what ] I was looking for at the time country tells more of [ a, + a ] story. /"
sd,A,It/PRP kind/RB of/RB reminds/VBZ me/PRP of/IN my/PRP$ roots/NNS of/IN growing/VBG up/RP,It kind of reminds me of my roots of growing up /
sd,A,"and/CC I/PRP 've/VBP ,/, I/PRP 've/VBP become/VBN I/PRP guess/VBP more/JJR of/IN a/DT country/NN fan/NN over/IN the/DT years/NNS ./.","{C and } [ I've, + I've ] become I guess more of a country fan over the years. /"
qy^d,B,"When/WRB you/PRP say/VBP that/IN you/PRP grew/VBD up/RP ,/, uh/UH ,/, in/IN the/DT sixties/NNS I/PRP take/VBP it/PRP that/DT was/VBD the/DT ,/, uh/UH ,/, teenage/JJ type/NN years/NNS","When you say that you grew up, {F uh, } in the sixties I take it that was the, {F uh, } teenage type years /"
%,B,"or/CC ,/, uh/UH ,/,","{C or, } {F uh, } -/"
ny,A,"Yeah/UH ,/,","Yeah, /"
sd,A,that/DT was/VBD my/PRP$ teenage/JJ years/NNS ./.,that was my teenage years. /
sd,A,I/PRP was/VBD born/VBN in/IN fifty/CD,I was born in fifty /
%,A,"and/CC ,/, and/CC ,/, uh/UH ,/,","[ {C and, } + {C and, } ] {F uh, } -/"
bk,B,"Okay/UH ,/,","Okay, /"
sd,B,"we/PRP ,/, we/PRP 're/VBP very/RB similarly/RB aged/JJ ,/,","[ we, + we're ] very similarly aged, /"
sv,B,"so/RB we/PRP probably/RB have/VBP an/DT in/JJ ,/, interesting/JJ perspective/NN on/IN the/DT music/NN on/IN the/DT times/NNS ,/,","{C so } we probably have an [ in-, + interesting ] perspective on the music on the times, /"
sd,B,"so/RB I/PRP 'm/VBP just/RB a/DT couple/NN years/NNS older/JJR than/IN you/PRP ,/,","{C so } I'm just a couple years older than you, /"
