act_tag,speaker,pos,text
sd,A,I/PRP know/VBP they/PRP have/VBP a/DT waiting/JJ list/NN and/CC a/DT quota/NN on/IN immigration/NN now/RB ./.,I know they have a waiting list and a quota on immigration now. /
sd,B,I/PRP 've/VBP lost/VBD track/NN ./.,<Talking> I've lost track. /
sd,B,I/PRP do/VBP n't/RB really/RB know/VB ./.,I don't really know. /
sd,B,"I/PRP ,/, I/PRP do/VBP have/VB some/DT opinions/NNS ,/,","[ I, + I ] do have some opinions, /"
ad,B,but/CC go/VB ahead/RB ./.,{C but } go ahead. /
b,A,"Yeah/UH ,/,","Yeah, /"
sv,A,"um/UH ,/, well/UH I/PRP know/VBP that/IN they/PRP 're/VBP ,/, they/PRP 're/VBP real/RB cautious/JJ about/IN letting/VBG Middle/JJ Eastern/JJ people/NNS into/IN the/DT country/NN now/RB because/IN of/IN all/PDT the/DT terrorism/NN ./.","{F um, } {D well } I know that [ they're, + they're ] real cautious about letting Middle Eastern people into the country now because of all the terrorism. /"
qo,A,"What/WP ,/,","[ [ What, +"
b,B,"Uh/UH ,/,","{F Uh, }"
+,A,What/WP ?/.,What? ] +
+,B,"okay/JJ ,/,","okay , /"
sd,B,"I/PRP had/VBD n't/RB thought/VBN about/IN that/DT ,/, uh/UH ./.","I hadn't thought about that, {F uh. } /"
+,A,What/WP all/DT do/VBP you/PRP know/VB about/IN it/PRP ?/.,What ] all do you know about it? /
sd,B,"Uh/UH ,/, well/UH I/PRP just/RB have/VBP an/DT opinion/NN ,/,","{F Uh, } {D well } I just have an opinion, /"
sv,B,"now/UH I/PRP did/VBD n't/RB think/VB ,/, I/PRP thought/VBD the/DT terrorism/NN thing/NN was/VBD overstated/JJ ,/, I/PRP mean/VBP ,/,","{D now } [ I didn't think, + I thought ] the terrorism thing was overstated, {E I mean, } /"
x,A,,<Noise>.
sd,B,there/EX was/VBD nothing/NN over/IN here/RB ./.,there was nothing over here. /
%,B,"In/IN fact/NN even/RB ,/,","In fact even, - /"
sv,B,"this/DT is/VBZ not/RB our/PRP$ subject/NN ,/, I/PRP guess/VBP ,/,","this is not our subject, I guess, /"
sd,B,"but/CC ,/, uh/UH ,/, maybe/RB it/PRP is/VBZ or/CC is/VBZ n't/RB ,/, I/PRP suppose/VBP ./.","{C but, } {F uh, } maybe it is or isn't, I suppose. /"
b,A,Yeah/UH ./.,Yeah. /
sd,B,My/PRP$ wife/NN when/WRB she/PRP talked/VBD about/IN the/DT Middle/NNP East/NNP,My wife when she talked about the Middle East /
sd,B,"and/CC everyone/NN 's/BES afraid/JJ ,/, you/PRP know/VBP ,/, of/IN how/WRB the/DT war/NN was/VBD going/VBG to/TO go/VB and/CC everything/NN ,/,","{C and } everyone's afraid, {D you know, } of how the war was going to go and everything, /"
sd,B,"I/PRP said/VBD ,/, I/PRP told/VBD her/PRP$ ,/, no/UH ,/,","[ I said, + I told ] her, no, /"
^q,B,it/PRP 's/BES just/RB not/RB going/VBG to/TO happen/VB ./.,it's just not going to happen. /
^q,B,"There/EX 's/BES not/RB going/VBG to/TO be/VB any/DT terrorism/NN over/IN him/PRP ,/,","There's not going to be any terrorism over him, /"
sd,B,"and/CC there/EX was/VBD n't/RB ,/, you/PRP know/VBP ./.","{C and } there wasn't, {D you know. } /"
sd,B,"They/PRP just/RB did/VBD n't/RB have/VB an/DT organization/NN ,/,","They just didn't have an organization, /"
sv,B,"but/CC ,/, uh/UH ,/, I/PRP ,/, I/PRP ,/, I/PRP 'm/VBP concerned/VBN that/IN we/PRP 're/VBP letting/VBG too/RB many/JJ ,/, that/IN we/PRP do/VBP n't/RB have/VB enough/RB controls/NNS ./.","{C but, } {F uh, } [ [ I, + I, ] + I'm ] concerned [ that we're letting too many, + that we don't have enough ] controls. /"
sv,B,"I/PRP think/VBP that/IN ,/, uh/UH ,/, the/DT Asian/JJ gangsters/NNS that/WDT we/PRP 've/VBP let/VB in/IN here/RB","I think that, {F uh, } the Asian gangsters that we've let in here - /"
sv,B,and/CC if/IN --/:,[ {C and } if + --
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,"--/: and/CC the/DT guys/NNS from/IN ,/, uh/UH ,/, Cuba/NNP ,/, you/PRP know/VBP ,/, there/EX 's/BES a/DT lot/NN of/IN criminals/NNS down/RB in/IN Florida/NNP that/IN we/PRP 've/VBP let/VB in/RB from/IN Cuba/NNP that/WDT Fidel/NNP pushed/VBD off/RB on/IN us/PRP ,/,","-- {C and } ] the guys from, {F uh, } Cuba, {D you know, } there's a lot of criminals down in Florida that we've let in from Cuba that Fidel pushed off on us, /"
%,B,"and/CC ,/, uh/UH ,/, and/CC the/DT last/JJS ,/, you/PRP know/VBP ,/,","[ {C and, } + {F uh, } {C and } ] the last, {D you know, } - /"
sv,B,"out/IN of/IN all/PDT the/DT Asians/NNPS we/PRP brought/VBD in/RB ,/, there/EX 's/BES a/DT tremendous/JJ criminal/JJ element/NN that/WDT we/PRP let/VBP in/IN from/IN ,/, from/IN Asia/NNP","out of all the Asians we brought in, there's a tremendous criminal element that we let in [ from, + from ] Asia /"
sv,B,and/CC I/PRP think/VBP that/IN --/:,{C and } I think that --
aa,A,That/DT 's/BES right/JJ ./.,That's right. /
+,B,--/: there/EX 's/HVS got/VBD to/TO be/VB some/DT sort/NN of/IN controls/NNS over/IN that/DT ./.,-- there's got to be some sort of controls over that. /
sd,B,I/PRP mean/VBP this/DT Asia/NNP mafia/NN thing/NN is/VBZ getting/VBG out/IN of/IN hand/NN ./.,{E I mean } this Asia mafia thing is getting out of hand. /
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"I/PRP do/VBP n't/RB ,/, I/PRP do/VBP n't/RB ,/, I/PRP did/VBD n't/RB know/VB what/WP ,/, I/PRP do/VBP n't/RB even/RB know/VB what/WP our/PRP$ controls/NNS are/VBP ./.","[ [ [ I don't, + I don't, ] + I didn't know what, ] + I don't even know what ] our controls are. /"
sd,B,"I/PRP do/VBP n't/RB even/RB know/VB what/WP ,/, uh/UH ,/, if/IN we/PRP have/VBP any/DT guidelines/NNS at/IN all/DT ,/, uh/UH ,/, on/IN immigration/NN ./.","I don't even know what, {F uh, } if we have any guidelines at all, {F uh, } on immigration. /"
sd,B,"Um/UH ,/, I/PRP always/RB thought/VBD that/IN we/PRP did/VBD ,/,","{F Um, } I always thought that we did, /"
sd,B,"but/CC I/PRP do/VBP n't/RB ,/, I/PRP do/VBP n't/RB ,/, I/PRP do/VBP n't/RB know/VB what/WP they/PRP are/VBP right/RB now/RB ./.","{C but } [ [ I don't, + I don't, ] + I don't ] know what they are right now. /"
sv,A,"There/EX ,/, I/PRP do/VBP n't/RB think/VB there/EX 's/BES much/JJ of/IN ,/, much/JJ of/IN one/CD ,/, because/IN I/PRP 'm/VBP sure/JJ all/PDT the/DT people/NNS from/IN Cuba/NNP have/VBP been/VBN released/VBN from/IN that/DT camp/NN that/WDT they/PRP were/VBD in/RB ./.","[ There, + I don't think there's ] [ much of, + much of ] one, because I'm sure all the people from Cuba have been released from that camp that they were in. /"
b,B,Yeah/UH ./.,Yeah. /
sv,A,"And/CC ,/, uh/UH ,/, most/RBS of/IN them/PRP ,/, it/PRP 's/BES just/RB like/IN Australia/NNP ,/, most/RBS of/IN them/PRP were/VBD criminals/NNS from/IN Cuba/NNP --/:","{C And, } {F uh, } [ most of them, + it's just like Australia, most of them ] were criminals from Cuba -- /"
b,B,Yeah/UH ./.,Yeah. /
sv,A,"--/: and/CC I/PRP think/VBP that/DT was/VBD just/RB an/DT attempt/NN that/WDT ,/, that/WDT Fidel/NNP Castro/NNP to/TO undermine/VB ,/, you/PRP know/VBP --/:","-- {C and } I think that was just an attempt [ that, + that ] Fidel Castro to undermine, {D you know } --"
b,B,Yeah/UH ./.,Yeah. /
+,A,--/: the/DT United/NNP States/NNPS to/IN some/DT extent/NN ./.,-- the United States to some extent. /
sv,A,So/RB he/PRP just/RB released/VBD and/CC got/VBD rid/VBN of/IN all/DT his/PRP$ criminals/NNS and/CC sent/VBD them/PRP to/IN us/PRP ./.,{C So } he just released and got rid of all his criminals and sent them to us. /
sv,A,"And/CC it/PRP 's/BES almost/RB the/DT same/JJ thing/NN in/IN ,/, in/IN ,/, uh/UH ,/, from/IN Asia/NNP ,/, because/IN --/:","{C And } it's almost the same thing [ [ in, + in, ] + {F uh, } from ] Asia, because <<pause>> --"
^2,B,"Because/IN we/PRP ,/,","Because we, -/"
+,A,"--/: a/DT lot/NN ,/, a/DT lot/NN of/IN them/PRP was/VBD put/VBN out/IN of/IN business/NN in/IN Vietnam/NNP after/IN the/DT war/NN ,/,","-- [ a lot, + a lot ] of them was put out of business in Vietnam after the war, /"
%,A,"and/CC ,/,","{C and, } -/"
sd,B,"I/PRP ,/, I/PRP do/VBP have/VB some/DT sympathy/NN with/IN ,/, uh/UH ,/, you/PRP know/VBP ,/,","[ I, + I ] do have some sympathy with, {F uh, } {D you know, } - /"
sd,B,"of/IN course/NN we/PRP have/VBP this/DT big/JJ Mexican/JJ problem/NN ,/,","of course we have this big Mexican problem, /"
sd,B,"not/RB a/DT problem/NN ,/,","not a problem, /"
sv,B,"but/CC I/PRP think/VBP that/IN we/PRP need/VBP to/TO do/VB something/NN with/IN ,/, uh/UH ,/, the/DT immigration/NN of/IN back/RB and/CC a-/XX ,/, forth/RB across/IN Mexico/NNP ,/, uh/UH --/:","{C but } I think that we need to do something with, {F uh, } the immigration of back and [ a-, + forth across ] Mexico, {F uh } -- /"
b,A,Uh-huh/UH ./.,Uh-huh. /
