act_tag,speaker,pos,text
qo,A,How/WRB would/MD you/PRP feel/VB about/IN sending/VBG an/DT elderly/JJ family/NN member/NN to/TO a/DT nursing/NN home/NN ?/.,How would you feel about sending an elderly family member to a nursing home? /
sd,B,"Well/UH ,/, I/PRP do/VBP n't/RB feel/VB very/RB good/JJ about/IN it/PRP ,/,","{D Well, } I don't feel very good about it, /"
sv,B,but/CC I/PRP think/VBP that/IN at/IN some/DT times/NNS it/PRP can/MD be/VB the/DT right/JJ thing/NN to/TO do/VB ./.,{C but } I think that at some times it can be the right thing to do. /
sd,B,We/PRP sent/VBD my/PRP$ grandfather/NN to/IN a/DT nursing/VBG home/NN at/IN the/DT point/NN when/WRB he/PRP was/VBD really/RB incapable/JJ of/IN caring/VBG for/IN himself/PRP anymore/RB ./.,We sent my grandfather to a nursing home at the point when he was really incapable of caring for himself anymore. /
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"He/PRP actually/RB died/VBD a/DT few/JJ months/NNS after/IN that/DT ,/,","He actually died a few months after that, /"
%,B,"and/CC so/RB as/IN ,/,","{C and so } as, - /"
sd,B,"at/IN least/JJS in/IN retrospect/NN ,/, it/PRP was/VBD the/DT right/JJ thing/NN to/TO do/VB","at least in retrospect, it was the right thing to do /"
sd,B,because/IN he/PRP was/VBD either/CC in/IN a/DT nursing/VBG home/NN or/CC a/DT hospital/NN --/:,{C because } he was either in a nursing home or a hospital --
b,A,Right/UH ./.,Right. /
+,B,--/: or/CC something/NN else/RB that/IN he/PRP would/MD have/VB been/VBN spending/VBG most/JJS of/IN his/PRP$ time/NN in/IN those/DT days/NNS ./.,-- or something else that he would have been spending most of his time in those days. /
qw,A,And/CC what/WP type/NN of/IN recommendations/NNS did/VBD you/PRP have/VB when/WRB you/PRP decided/VBD where/WRB to/TO place/VB him/PRP ?/.,{C And } what type of recommendations did you have when you decided where to place him? /
%,B,"Um/UH ,/, well/UH ,/, the/DT ,/, see/UH ,/, uh/UH ,/, well/UH ,/,","{F Um, } {D well, } the, {D see, } {F uh, } {D well, } - /"
sd,B,"we/PRP ,/, he/PRP wanted/VBD to/TO get/VB into/IN a/DT Mennonite/NNP nursing/NN home/NN which/WDT is/VBZ very/RB popular/JJ and/CC hard/JJ to/TO get/VB into/IN and/CC had/VBD like/IN a/DT ten/CD year/NN waiting/NN list/NN --/:","[ we, + he ] wanted to get into a Mennonite nursing home which is very popular and hard to get into and had {D like } a ten year waiting list -- /"
ba,A,"Oh/UH ,/, my/PRP$ ./.","{F Oh, } my. /"
aa,B,"--/: right/UH ,/,","-- right, /"
sd,B,"we/PRP wound/VBD up/RP just/RB choosing/VBG a/DT ,/, another/DT Mennonite/NNP nursing/NN home/NN that/WDT was/VBD easier/JJR to/TO get/VB into/IN ./.","we wound up just choosing [ a, + another ] Mennonite nursing home that was easier to get into. /"
%,B,"Or/CC but/IN naturally/RB ,/,","[ {C Or } + {C but } ] naturally, - /"
ar,B,"no/UH ,/,","{D no, } /"
sd,B,"it/PRP was/VBD even/RB Mennonite/NNP related/VBN ,/,","it was even Mennonite related, /"
sd,B,"I/PRP 'm/VBP sorry/JJ ,/, it/PRP was/VBD actually/RB not/RB a/DT particularly/RB great/JJ nursing/NN home/NN ./.","{E I'm sorry, } it was actually not a particularly great nursing home. /"
sd,B,"Mostly/RB the/DT thing/NN was/VBD that/IN it/PRP was/VBD available/JJ when/WRB we/PRP needed/VBD it/PRP ,/,","Mostly the thing was that it was available when we needed it,"
b,A,"Yeah/UH ,/,","Yeah, /"
+,B,because/IN he/PRP suddenly/RB got/VBD sick/JJ --/:,because he suddenly got sick --
bf,A,"so/RB the/DT convenience/NN ,/,","{C so } the convenience, -/"
+,B,--/: and/CC needed/VBD to/TO be/VB put/VBN in/IN ./.,-- and needed to be put in. /
aa,A,Right/UH ./.,Right. /
qo,B,"Uh/UH ,/, what/WP do/VBP you/PRP think/VB ?/.","{F Uh, } what do you think? /"
sd,A,"My/PRP$ grandmother/NN lived/VBD with/IN us/PRP ,/, um/UH ,/, until/IN August/NNP ,/, um/UH ,/,","My grandmother lived with us, {F um, } until August, {F um, } /"
sd,A,and/CC we/PRP made/VBD the/DT decision/NN to/TO put/VB her/PRP in/IN a/DT nursing/VBG home/NN ./.,{C and } we made the decision to put her in a nursing home. /
sd,A,She/PRP has/VBZ leukemia/NN --/:,She has leukemia -- /
b,B,Uh-huh/UH ./.,Uh-huh. /
