act_tag,speaker,pos,text
qw,A,"Uh/UH ,/, Robert/NNP what/WP do/VBP you/PRP ,/, uh/UH ,/, think/VB ,/, what/WDT substances/NNS do/VBP you/PRP think/VB are/VBP the/DT most/RBS ,/, uh/UH ,/, likely/RB causes/NNS of/IN air/NN pollution/NN ?/.","{F Uh, } Robert [ what do you, {F uh, } think, + what substances do you think ] are the most, {F uh, } likely causes of air pollution? /"
ba,B,"Um/UH ,/, gee/UH ,/,","{F Um, } gee, /"
sd,B,"I/PRP do/VBP n't/RB ,/, I/PRP mean/VBP ,/,","I don't, {E I mean, } - /"
sv,B,"I/PRP ,/, I/PRP guess/VBP it/PRP 's/BES the/DT stuff/NN that/WDT comes/VBZ out/IN of/IN automobile/NN exhaust/NN ,/, you/PRP know/VBP ,/,","[ I, + I ] guess it's the stuff that comes out of automobile exhaust, {D you know, } /"
sd,B,they/PRP say/VBP in/IN the/DT paper/NN nitrous/JJ oxides/NNS and/CC ozone/NN and/CC all/PDT that/DT ./.,they say in the paper nitrous oxides and ozone and all that. /
b,A,Right/UH ./.,Right. /
sd,B,"So/RB ,/, I/PRP believe/VBP them/PRP","{D So, } I believe them /"
h,B,but/CC I/PRP 'm/VBP not/RB a/DT chemist/NN ./.,{C but } I'm not a chemist. /
qy,A,"Do/VBP you/PRP ,/, uh/UH ,/, do/VBP you/PRP think/VB that/IN those/DT are/VBP bigger/JJR contributors/NNS than/IN things/NNS like/IN ai-/NN ,/, acid/NN rain/NN and/CC some/DT of/IN the/DT pollutants/NNS that/WDT come/VBP from/IN ,/, uh/UH ,/, industrial/JJ areas/NNS ,/, factories/NNS and/CC so/RB on/IN ?/.","<Laughter> [ Do you, + {F uh, } do you ] think that those are bigger contributors than things like [ ai-, + acid ] rain and some of the pollutants that come from, {F uh, } industrial areas, factories and so on? /"
no,B,"I/PRP do/VBP n't/RB really/RB know/VB ,/, um/UH ,/,","I don't really know, {F um, } /"
sd,B,I/PRP grew/VBD up/RP in/IN Los/NNP Angeles/NNP and/CC have/VBP felt/VBN like/IN I/PRP was/VBD victimized/VBN by/IN air/NN pollution/NN ./.,I grew up in Los Angeles and have felt like I was victimized by air pollution. /
sd,A,"I/PRP was/VBD going/VBG to/TO say/VB ,/,","I was going to say, - /"
qy^d,A,"and/CC ,/, and/CC you/PRP ,/, so/IN you/PRP understand/VBP smog/NN ./.","[ [ {C and, } + {C and } ] you, + {C so } you ] understand smog <laughter>. /"
na,B,I/PRP understand/VBP it/PRP very/RB well/RB,I understand it very well /
sd,B,"and/CC in/IN fact/NN I/PRP was/VBD a/DT private/JJ pilot/NN there/RB ,/,","{C and } in fact I was a private pilot there, /"
b,A,Uh-huh/UH ./.,Uh-huh. /
