act_tag,speaker,pos,text
sd,B,Well/UH I/PRP always/RB think/VBP I/PRP 'm/VBP paying/VBG too/RB much/JJ taxes/NNS ./.,<Noise> <<rattling in background>> {D Well } I always think I'm paying too much taxes. /
qo,B,How/WRB about/IN you/PRP ?/.,How about you? /
ny,A,"Yeah/UH ,/,","Yeah, /"
na,A,oh/UH definitely/UH ./.,{F oh } definitely <laughter>. /
%,A,"Seems/VBZ like/IN ,/,","(( Seems )) like, -/"
sd,B,Although/IN at/IN least/JJS Texas/NNP does/VBZ n't/RB have/VB a/DT state/NN income/NN tax/NN yet/RB ./.,<Laughter> Although at least Texas doesn't have a state income tax yet. /
sd,B,"I/PRP mean/VBP ,/, you/PRP know/VBP ,/, they/PRP keep/VBP threatening/VBG us/PRP that/IN maybe/RB there/EX will/MD be/VB a/DT day/NN that/IN they/PRP 're/VBP going/VBG to/TO ,/, uh/UH ,/, enact/VB this/DT I/PRP think/VBP ,/, uh/UH ,/, the/DT ,/, um/UH ,/, other/JJ means/NNS of/IN providing/VBG income/NN for/IN the/DT state/NN have/VBP been/VBN dwindling/VBG","{E I mean, } {D you know, } they keep threatening us that maybe there will be a day that they're going to, {F uh, } <sniffing> enact this I think, {F uh, } <sniffing> the, {F um, } other means of providing (( income )) for the state have been dwindling /"
sd,B,"so/RB they/PRP keep/VBP trying/VBG to/TO say/VB we/PRP may/MD need/VB a/DT ,/, uh/UH ,/, state/NN income/NN tax/NN ./.","{C so } they keep trying to say we may need a, {F uh, } state income tax <sniffing>. /"
aa,A,"Yeah/UH ,/,","Yeah, /"
sd,A,"I/PRP think/VBP that/IN ,/, uh/UH ,/, we/PRP probably/RB will/MD have/VB to/TO have/VB ,/, have/VB to/TO ,/, uh/UH ,/, have/VBP a/DT state/NN income/NN tax/NN because/IN ,/, uh/UH ,/, Texans/NNPS do/VBP n't/RB approve/VB of/IN such/JJ things/NNS as/IN lotteries/NNS ,/, uh/UH ,/, well/UH I/PRP ,/, I/PRP ,/, come/VBP here/RB from/IN New/NNP York/NNP","I think that, {F uh, } we probably will [ have to have, + have to, {F uh, } have ] a state income tax because, {F uh, } Texans don't approve of such things as lotteries, {F uh, } {D well } [ I, + I, ] come here from New York /"
