act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",A,"Okay/UH ,/,","Okay, /"
qy,A,have/VBP you/PRP participated/VBN in/IN anything/NN like/IN that/DT ?/.,have you participated in anything like that? /
na,B,"Well/UH a/DT little/JJ bit/NN ,/,","<TV> {D Well } a little bit, /"
sd,B,we/PRP mostly/RB do/VBP our/PRP$ newspapers/NNS ./.,we mostly do our newspapers. /
sd,B,"We/PRP keep/VBP our/PRP$ newspapers/NNS ,/, and/CC stuff/NN like/IN that/DT and/CC we/PRP keep/VBP our/PRP$ newspapers/NNS and/CC stuff/NN like/IN that/DT","[ We keep our newspapers, and stuff like that + {C and } we keep our newspapers and stuff like that ] /"
sd,B,and/CC we/PRP take/VBP them/PRP to/TO be/VB recycled/VBN ./.,{C and } we take them to be recycled. /
b,A,"Uh-huh/UH ,/,","Uh-huh, /"
sd,A,"uh/UH ,/, we/PRP ,/, we/PRP have/VBP a/DT pretty/RB nice/JJ recycling/NN center/NN ,/, uh/UH ,/, in/IN our/PRP$ city/NN now/RB","{F uh, } [ we, + we ] have a pretty nice recycling center, {F uh, } in our city now /"
sd,A,and/CC we/PRP take/VBP the/DT newspapers/NNS and/CC plastic/NN and/CC glass/NN up/IN there/RB ./.,{C and } we take the newspapers and plastic and glass up there. /
sd,A,They/PRP 're/VBP open/JJ like/UH two/CD days/NNS a/DT week/NN,They're open {D like } two days a week /
sd,A,and/CC you/PRP can/MD just/RB take/VB it/PRP up/IN there/RB and/CC drop/VB it/PRP off/RP ./.,{C and } you can just take it up there and drop it off. /
b,B,Uh-huh/UH ./.,Uh-huh. /
sd,A,It/PRP 's/BES kind/RB of/RB fun/NN ./.,It's kind of fun. /
sd,A,"And/CC everybody/NN up/IN there/RB looks/VBZ pleased/JJ with/IN themselves/PRP when/WRB they/PRP 're/VBP taking/VBG their/PRP$ stuff/NN in/RP like/IN they/PRP 're/VBP doing/VBG something/NN good/JJ to/TO ,/,","{C And } everybody up there looks pleased with themselves when they're taking their stuff in like they're doing something good to,"
b,B,Yeah/UH ./.,Yeah. /
+,A,"help/VB the/DT earth/NN ,/, I/PRP guess/VBP ./.","help the earth, I guess. /"
sv,B,And/CC a/DT lot/NN of/IN people/NNS complain/VBP because/IN it/PRP 's/BES really/RB not/RB convenient/JJ for/IN them/PRP ./.,<Throat_clearing> {C And } a lot of people complain because it's really not convenient for them. /
aa,A,Yeah/UH ./.,Yeah. /
aa,A,Yeah/UH,Yeah /
sd,A,my/PRP$ husband/NN was/VBD complaining/VBG the/DT other/JJ day/NN,my husband was complaining the other day /
sd,A,because/IN he/PRP said/VBD every/DT time/NN I/PRP turn/VBP around/IN you/PRP 're/VBP telling/VBG me/PRP some/DT new/JJ rule/NN about/IN recycling/NN,{C because } he said every time I turn around you're telling me some new rule about recycling /
