act_tag,speaker,pos,text
sd,A,"and/CC she/PRP 's/BES expecting/VBG the/DT end/NN of/IN this/DT month/NN ,/,","<Laughter> {C and } she's expecting the end of this month, /"
sd,A,and/CC she/PRP 's/BES the/DT only/RB one/CD that/WDT lives/VBZ near/RB by/RB ./.,{C and } she's the only one that lives near by. /
ba,B,"Oh/UH ,/, well/UH that/DT will/MD be/VB nice/JJ though/RB ./.","{F Oh, } {D well } that will be nice though. /"
sd,A,"So/RB the/DT rest/NN live/VBP in/IN ,/,","{C So } the rest live in, - /"
sd,A,"one/CD lives/VBZ in/IN Connecticut/NNP ,/,","one lives in Connecticut, /"
sd,A,"and/CC couple/NN lives/VBZ in/IN Pittsburg/NNP ,/,","{C and } couple lives in Pittsburg, /"
sd,A,and/CC one/CD lives/VBZ near/RB D/NNP ./. C/NNP ./.,{C and } one lives near D. C. /
%,A,"So/RB ,/, uh/UH .../:","{C So, } {F uh } ... -/"
sv,B,But/CC still/JJ sort/RB of/RB up/IN in/IN that/DT general/JJ --/:,{C But } still sort of up in that general --
b,A,Yeah/UH,Yeah /
+,B,--/: area/NN of/IN the/DT country/NN --/:,-- area of the country -- -/
b,A,Yeah/UH,Yeah /
sv,B,--/: so/RB you/PRP can/MD probably/RB see/VB them/PRP sometimes/RB ./.,-- {C so } you can probably see them sometimes. /
b,A,"Yeah/UH ,/,","Yeah, /"
sd,A,"we/PRP see/VBP them/PRP once/RB in/IN a/DT while/NN ,/, a/DT couple/NN of/IN times/NNS a/DT year/NN at/IN least/JJS ,/,","we see them once in a while, a couple of times a year at least, /"
b,B,Yeah/UH,Yeah /
sd,A,"and/CC the/DT ones/NNS in/IN Pittsburg/NNP ,/, of/IN course/NN ,/, we/PRP see/VBP more/RBR often/RB ,/,","{C and } the ones in Pittsburg, of course, we see more often, /"
b,B,Yeah/UH,Yeah /
%,A,"So/RB ,/, uh/UH .../:","{D So, } {F uh } ... -/"
b,B,Okay/UH ./.,Okay. /
b,A,All/RB right/JJ,All right /
sd,A,I/PRP 'm/VBP ready/JJ to/TO go/VB ./.,I'm ready to go. /
qw,B,"Well/UH ,/, uh/UH ,/, what/WDT kind/NN of/IN recycling/NN do/VBP you/PRP have/VB in/IN your/PRP$ area/NN ?/.","{D Well, } {F uh, } what kind of recycling do you have in your area? /"
sd,A,"Well/UH ,/, they/PRP 've/VBP been/VBN trying/VBG different/JJ things/NNS ./.","{D Well, } they've been trying different things. /"
sd,A,"One/CD ,/, one/CD of/IN the/DT biggest/JJS problems/NNS seems/VBZ to/TO be/VB we/PRP do/VB n't/RB ,/, they/PRP do/VBP n't/RB have/VB anyplace/RB to/TO put/VB some/DT of/IN the/DT things/NNS that/WDT need/VBP recycled/VBN ./.","[ One, + one ] of the biggest problems seems to be [ we don't, + they don't ] have anyplace to put some of the things that need recycled. /"
b,B,Uh-huh/UH ./.,Uh-huh. /
sd,A,"Right/RB now/RB we/PRP 've/VBP recycled/VBN glass/NN for/IN ye-/NNS ,/, be-/XX ,/, years/NNS because/IN we/PRP have/VBP a/DT glass/NN industry/NN in/IN our/PRP$ community/NN ./.","Right now we've recycled glass for [ ye-, be-, + years because ] we have a glass industry in our community. /"
%,B,"Oh/UH ,/, what/WDT ,/,","{F Oh, } what, - /"
qw,B,which/WDT one/CD is/VBZ that/DT ?/.,which one is that? /
sd,A,Owens/NNP ./.,Owens. /
bk,B,"Oh/UH ,/, uh-huh/UH ./.","{F Oh, } uh-huh. /"
sd,A,"Owens/NNP MUMBLEx/XX ./. Um/UH ,/,","Owens (( )) . {F Um, } /"
sd,A,so/RB glass/NN has/VBZ been/VBN recycled/VBN for/IN a/DT long/JJ time/NN ./.,{C so } glass has been recycled for a long time. /
sd,A,"Uh/UH ,/, we/PRP have/VBP a/DT cycling/NN area/NN set/VBN up/RP here/RB at/IN our/PRP$ house/NN ,/,","{F Uh, } we have a (( cycling )) area set up here at our house, /"
sd,A,"the/DT Boy/NNP Scouts/NNPS have/VBP ,/, and/CC they/PRP 've/VBP done/VBN that/DT for/IN years/NNS ./.","the Boy Scouts [ have, + {C and } they've ] done that for years. /"
sd,A,"Uh/UH ,/, the/DT stores/NNS are/VBP recycling/VBG their/PRP$ plastic/NN bags/NNS now/RB ./.","{F Uh, } the stores are recycling their plastic bags now. /"
sd,A,You/PRP can/MD take/VB them/PRP back/RB in/IN,You can take them back in /
sd,A,and/CC they/PRP have/VBP bins/NNS to/TO collect/VB those/DT ./.,{C and } they have bins to collect those.
b,B,Uh-huh/UH ./.,Uh-huh. /
+,A,"Uh/UH ,/, the/DT aluminum/NN cans/NNS ./.","{F Uh, } the aluminum cans. /"
sd,A,"They/PRP try/VBP to/TO do/VB the/DT ,/, uh/UH ,/, newspapers/NNS","They try to do the, {F uh, } newspapers /"
sd,A,"and/CC ,/, uh/UH ,/, they/PRP had/VBD to/TO close/VB their/PRP$ area/NN down/RP because/IN they/PRP could/MD n't/RB sell/VB it/PRP ./.","{C and, } {F uh, } they had to close their area down because they couldn't sell it. /"
%,A,"They/PRP were/VBD ,/,","They were, - /"
