act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",A,"Okay/UH ,/,","Okay, /"
sd,A,"um/UH ,/, I/PRP guess/VBP we/PRP 're/VBP going/VBG to/TO talk/VB ,/, describe/VB ,/, uh/UH ,/, job/NN benefits/NNS ,/,","{F um, } I guess we're going to [ talk, + ] describe, {F uh, } job benefits, /"
qw,A,"and/CC so/RB what/WP do/VBP you/PRP think/VB ,/, next/RB to/IN salary/NN do/VBP you/PRP rank/VB ,/, is/VBZ the/DT most/RBS important/JJ job/NN benefits/NNS ?/.","{C and so } what do you think, next to salary do you rank, is the most important job benefits? /"
sv,B,"Uh/UH ,/, I/PRP would/MD say/VB the/DT medical/JJ ,/, uh/UH ,/, group/NN insurance/NN area/NN --/:","{F Uh, } I would say the medical, {F uh, } group insurance area --"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,"--/: as/RB far/RB as/IN ,/, uh/UH ,/, covering/VBG medical/JJ costs/NNS for/IN yourself/PRP or/CC family/NN members/NNS ./.","-- as far as, {F uh, } covering medical costs for yourself or family members. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
qy,A,"Well/UH ,/, um/UH ,/, does/VBZ your/PRP$ company/NN have/VB good/JJ benefits/NNS in/IN that/DT ,/, in/IN that/DT regard/NN ?/.","{D Well, } {F um, } does your company have good benefits [ in that, + in that ] regard? /"
ny,B,"Yeah/UH ,/,","Yeah, /"
%,B,"I/PRP think/VBP ,/,","I think, - /"
sd,B,"I/PRP work/VBP for/IN a/DT public/JJ school/NN system/NN ,/, district/NN --/:","I work for a public school [ system, + district ] -- /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"--/: and/CC ,/, uh/UH ,/, so/RB it/PRP 's/BES different/JJ than/IN a/DT company/NN where/WRB most/JJS companies/NNS fund/VBP almost/RB the/DT entire/NN thing/NN ,/,","-- [ {C and, } + {F uh, } {C so } ] it's different than a company where most companies fund almost the entire thing, /"
sd,B,"where/WRB the/DT school/NN district/NN does/VBZ ,/, um/UH ,/, the/DT employee/NN must/MD pick/VB up/RP a/DT greater/JJR figure/NN in/IN the/DT way/NN of/IN ,/, uh/UH ,/, costs/NNS ./.","where the school district does, {F um, } the employee must pick up a greater figure in the way of, {F uh, } costs. /"
b,A,"Oh/UH ,/, yeah/UH ./.","{F Oh, } yeah. /"
sd,B,"But/CC overall/RB ,/, um/UH ,/, I/PRP 've/VBP been/VBN pleased/JJ with/IN it/PRP over/IN the/DT years/NNS ./.","{C But } overall, {F um, } I've been pleased with it over the years. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sv,B,"I/PRP think/VBP the/DT biggest/JJS frustration/NN is/VBZ because/IN of/IN the/DT cost/NN of/IN insurance/NN going/VBG up/RB every/DT year/NN ,/, our/PRP$ district/NN has/VBZ had/VBN to/TO alter/VB ,/, uh/UH ,/, you/PRP know/VBP ,/, change/VB companies/NNS ,/,","I think the biggest frustration is because of the cost of insurance going up every year, our district has had to [ alter, + {F uh, } {D you know, } change ] companies, /"
sd,B,"or/CC now/RB we/PRP 're/VBP on/IN a/DT managed/JJ care/NN thing/NN ,/, which/WDT has/VBZ stressed/VBN a/DT lot/NN of/IN people/NNS out/RP --/:","{C or } now we're on a managed care thing, which has stressed a lot of people out --"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,--/: although/IN it/PRP has/VBZ not/RB disturbed/JJ me/PRP any/DT ./.,-- although it has not disturbed me any. /
b,A,I/PRP see/VBP ./.,I see. /
qo,B,How/WRB about/IN yourself/PRP ?/.,How about yourself? /
%,A,"Uh/UH ,/, well/UH I/PRP 'm/VBP ,/,","{F Uh, } {D well } I'm, - /"
sd,A,my/PRP$ medical/JJ coverage/NN is/VBZ with/IN an/DT H/NN M/NN O/NN --/:,my medical coverage is with an H M O -- /
b,B,Uh-huh/UH ./.,Uh-huh. /
sv,A,"--/: um/UH ,/, so/RB ,/, that/DT 's/BES ,/, in/IN my/PRP$ opinion/NN ,/, that/DT 's/BES get-/XX ,/, that/DT 's/BES bordering/VBG on/IN a/DT health/NN clinic/NN ,/,","-- {F um, } {C so, } [ that's, + in my opinion, [ that's get-, + that's bordering ] ] on a health clinic, /"
sv,A,but/CC it/PRP seems/VBZ to/TO be/VB a/DT good/JJ way/NN to/TO maintain/VB costs/NNS and/CC still/RB provide/VB a/DT good/JJ amount/NN of/IN coverage/NN ./.,{C but } it seems to be a good way to maintain costs and still provide a good amount of coverage. /
aa,B,"Right/UH ,/,","Right, /"
aa,B,yeah/UH ./.,yeah. /
%,A,Um/UH ./.,{F Um. } /
sd,B,"Our/PRP$ district/NN did/VBD that/DT for/IN the/DT ninety-one/CD and/CC the/DT ninety/CD school/NN year/NN ,/, or/CC calendar/NN years/NNS ,/,","Our district did that for the ninety-one and the ninety [ school year, + {E or } calendar years, ] /"
sd,B,"and/CC I/PRP was/VBD in/IN the/DT H/NN M/NN O/NN ,/,","{C and } I was in the H M O, /"
sd,B,"and/CC ,/, um/UH ,/, I/PRP was/VBD because/IN my/PRP$ ,/, my/PRP$ same/JJ doctor/NN ,/, you/PRP know/VBP ,/, agreed/VBD to/TO be/VB in/IN it/PRP for/IN ,/, uh/UH ,/,","{C and, } {F um, } I was because [ my, + my ] same doctor, {D you know, } agreed to be in it for, {F uh, } - /"
sd,B,they/PRP usually/RB sign/VBP a/DT contract/NN or/CC something/NN --/:,they usually sign a contract or something -- /
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"--/: and/CC ,/, um/UH ,/, uh/UH ,/, I/PRP did/VBD have/VB surgery/NN last/JJ summer/NN","-- {C and, } {F um, } {F uh, } I did have surgery last summer /"
sd,B,"and/CC I/PRP paid/VBD ten/CD dollars/NNS when/WRB I/PRP went/VBD to/TO see/VB him/PRP that/DT first/JJ day/NN ,/,","{C and } I paid ten dollars when I went to see him that first day, /"
sd,B,"and/CC I/PRP 've/VBP never/RB seen/VBN another/DT bill/NN ,/,","{C and } I've never seen another bill, /"
sd,B,so/RB I/PRP --/:,{C so } [ I -- +
b,A,Right/UH ./.,Right. /
+,B,--/: I/PRP have/VBP to/TO say/VB it/PRP really/RB works/VBZ ./.,-- I have ] to say it really works. /
sd,B,"But/CC ,/, again/RB ,/, I/PRP was/VBD fortunate/JJ because/IN my/PRP$ doctor/NN agreed/VBD to/TO be/VB in/IN it/PRP ./.","{C But, } again, I was fortunate because my doctor agreed to be in it. /"
sv,B,"Uh/UH ,/, if/IN you/PRP 've/VBP been/VBN going/VBG to/IN a/DT doctor/NN for/IN ,/, you/PRP know/VBP ,/, ten/CD years/NNS or/CC something/NN and/CC he/PRP elects/VBZ not/RB to/TO join/VB ,/, it/PRP can/MD be/VB very/RB stressful/JJ for/IN --/:","{F Uh, } if you've been going to a doctor for, {D you know, } ten years or something and he elects not to join, it can be very stressful for --"
aa,A,Yes/UH ./.,Yes. /
+,B,"--/: you/PRP know/VBP ,/, those/DT people/NNS ./.","-- {D you know, } those people. /"
aa,A,"That/DT 's/BES right/JJ ,/,","That's right, /"
%,A,"yeah/UH ,/,","yeah, /"
sd,A,"I/PRP 'm/VBP ,/, I/PRP 'm/VBP fairly/RB young/JJ myself/PRP ,/,","[ I'm, + I'm ] fairly young myself, /"
sd,A,"I/PRP 've/VBP only/RB been/VBN ,/,","I've only been, - /"
sd,A,"when/WRB I/PRP first/RB started/VBD working/VBG which/WDT ,/,","when I first started working which, - /"
sd,A,three/CD years/NNS ago/RB is/VBZ when/WRB I/PRP first/RB got/VBD into/IN full/JJ time/NN employment/NN --/:,three years ago is when I first got into full time employment -- /
b,B,Uh-huh/UH ./.,Uh-huh. /
sd,A,"--/: and/CC ,/, uh/UH ,/, at/IN that/DT time/NN I/PRP immediately/RB joined/VBD the/DT H/NN M/NN O/NN ,/,","-- {C and, } {F uh, } at that time I immediately joined the H M O, /"
%,A,"and/CC I/PRP never/RB really/RB ,/,","{C and } I never really, - /"
sd,A,"so/RB the/DT only/JJ doctor/NN I/PRP ,/, I/PRP 've/VBP kind/RB of/RB consistently/RB had/VBN has/VBZ been/VBN through/IN the/DT H/NN M/NN O/NN ,/,","{C so } the only doctor [ I, + I've ] kind of consistently had has been through the H M O, /"
sd,A,"and/CC ,/, uh/UH --/:","{C and, } {F uh } --"
b,B,Yeah/UH ./.,Yeah. /
+,A,"--/: you/PRP know/VBP ,/, for/IN me/PRP it/PRP 's/HVS worked/VBN out/RP real/RB good/JJ ./.","-- {D you know, } for me it's worked out real good. /"
b,B,"Right/UH ,/,","Right, /"
sv,B,"but/CC if/IN you/PRP ,/, you/PRP know/VBP ,/, have/VBP a/DT family/NN and/CC ,/, and/CC ,/, um/UH ,/, everybody/NN 's/HVS gone/VBN to/IN different/JJ doctors/NNS ,/, uh/UH ,/, it/PRP is/VBZ hard/JJ to/TO give/VB up/RP somebody/NN who/WP you/PRP feel/VBP knows/VBZ you/PRP and/CC your/PRP$ body/NN and/CC your/PRP$ ,/, just/RB has/VBZ ,/, you/PRP know/VBP ,/, all/PDT the/DT medical/JJ history/NN","{C but } if you, {D you know, } have a family [ and, + and, ] {F um, } everybody's gone to different doctors, {F uh, } it is hard to give up somebody who you feel knows you and your body and [ your, + ] just has, {D you know, } all the medical history /"
sd,B,and/CC you/PRP feel/VBP comfortable/JJ with/IN it/PRP ./.,{C and } you feel comfortable with it. /
b,A,Uh-huh/UH ./.,Uh-huh. /
sv,B,"I/PRP ,/, I/PRP 'm/VBP sure/JJ it/PRP would/MD be/VB very/RB stressful/JJ","[ I, + I'm ] sure it would be very stressful /"
sd,B,"and/CC ,/, my/PRP$ husband/NN and/CC I/PRP have/VBP just/RB elected/VBN that/IN if/IN that/DT happens/VBZ ,/, I/PRP will/MD go/VB and/CC just/RB pay/VB ./.","{C and, } my husband and I have just elected that if that happens, I will go and just pay. /"
sd,B,You/PRP can/MD continue/VB to/TO go/VB to/IN your/PRP$ own/JJ doctor/NN --/:,You can continue to go to your own doctor -- /
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"--/: but/CC your/PRP$ benefits/NNS are/VBP not/RB as/RB ,/, you/PRP know/VBP ,/, good/JJ ,/,","-- {C but } your benefits are not as, {D you know, } good, /"
%,B,"so/RB ,/, uh/UH ./.","{D so, } {F uh. } -/"
b,A,Uh-huh/UH ./.,Uh-huh. /
%,A,"Yeah/UH ,/,","Yeah, /"
sd,A,"um/UH ,/, like/IN you/PRP ,/, you/PRP mentioned/VBD you/PRP work/VBP for/IN a/DT school/NN system/NN ./.","{F um, } {D like } [ you, + you ] mentioned you work for a school system. /"
sd,A,"I/PRP work/VBP for/IN ,/, uh/UH ,/, Georgia/NNP Tech/NNP in/IN the/DT --/:","I work for, {F uh, } Georgia Tech in the --"
b,B,"Oh/UH ,/, all/RB right/JJ ./.","{F Oh, } all right. /"
+,A,"--/: research/NN branch/NN ,/,","-- research branch, /"
sv,A,"and/CC I/PRP guess/VBP another/DT one/NN that/WDT ,/, that/WDT I/PRP rank/VBP up/RP there/RB high/RB is/VBZ the/DT ,/, uh/UH ,/, kind/RB of/RB job/NN flexibility/NN and/CC time/NN off/RP ,/, um/UH ,/, I/PRP enjoy/VBP as/IN a/DT benefit/NN ./.","{C and } I guess another one [ that, + that ] I rank up there high is the, {F uh, } kind of job flexibility and time off, {F um, } I enjoy as a benefit. /"
aa,B,I/PRP do/VBP too/RB ./.,I do too. /
qy,B,Are/VBP you/PRP talking/VBG about/IN like/UH Spring/NN Break/NN,Are you talking about {D like } Spring Break /
%,B,"and/CC ,/,","{C and, } -/"
na,A,Right/UH --/:,Right -- /
b^m,B,Right/UH ./.,Right. /
b,A,"--/: yeah/UH ,/,","-- yeah, /"
bf,A,getting/VBG a/DT lot/NN of/IN breaks/NNS --/:,getting a lot of breaks --
aa,B,Right/UH ./.,Right. /
+,A,"--/: between/IN quarters/NNS and/CC that/DT ,/, and/CC having/VBG a/DT lot/NN of/IN vacation/NN ./.","-- between quarters and that, and having a lot of vacation. /"
%,B,"It/PRP ,/, it/PRP really/RB ,/, um/UH ,/,","[ It, + it ] really, {F um, } - /"
sv,B,"I/PRP do/VBP n't/RB think/VB most/JJS of/IN our/PRP$ teachers/NNS ,/,","I don't think most of our teachers, - /"
h,B,"now/UH I/PRP 'm/VBP not/RB a/DT teacher/NN ,/,","{D now } I'm not a teacher, /"
sd,B,"I/PRP am/VBP a/DT secretarial/JJ executive/NN assistant/NN ,/,","I am a secretarial executive assistant, /"
sv,B,"but/CC I/PRP do/VBP n't/RB think/VB the/DT teachers/NNS could/MD stand/VB the/DT stress/NN all/DT ,/, all/DT year/NN long/RB --/:","{C but } I don't think the teachers could stand the stress <laughter> [ all, + all ] year long --"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,--/: frankly/RB ./.,-- frankly. /
sv,B,"It/PRP is/VBZ just/RB ,/, Texas/NNP has/VBZ really/RB ,/, um/UH ,/, you/PRP know/VBP ,/,","It is just, Texas has really, {F um, } {D you know, } - /"
sd,B,"they/PRP want/VBP everybody/NN educated/JJ ,/, no/DT matter/NN what/WP it/PRP costs/VBZ ,/,","they want everybody educated, no matter what it costs, /"
