act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",B,Okay/UH ./.,<Noise> Okay. /
sv,A,"Um/UH ,/, well/UH I/PRP guess/VBP first/RB of/IN all/DT I/PRP ,/, I/PRP could/MD have/VB asked/VBN that/DT before/IN ./.","{F Um, } {D well } I guess first of all [ I, + I ] could have asked that before. /"
x,B,./.,<Noise>.
qy,A,Do/VBP you/PRP have/VB children/NNS ?/.,Do you have children? /
nn,B,No/UH ./.,No. /
b^m,A,No/UH ./.,No. /
bk,A,Okay/UH ./.,Okay. /
sd,A,"Because/IN I/PRP ,/, I/PRP did/VBD n't/RB know/VB if/IN that/DT would/MD make/VB a/DT difference/NN --/:","Because [ I, + I ] didn't know if that would make a difference --"
b,B,Yeah/UH ./.,Yeah. /
+,A,--/: in/IN how/WRB you/PRP felt/VBD ./.,-- in how you felt. /
qo,A,"Um/UH ,/, what/WP do/VBP you/PRP think/VB about/IN the/DT proposal/NN that/IN all/DT young/JJ Americans/NNPS should/MD spend/VB a/DT year/NN or/CC two/CD ,/,","{F Um, } what do you think about the proposal that all young Americans should spend a year or two, -/"
sv,B,I/PRP think/VBP it/PRP 's/BES a/DT good/JJ idea/NN ./.,I think it's a good idea. /
sv,B,"I/PRP think/VBP everybody/NN should/MD ,/, should/MD ,/, uh/UH ,/, put/VB in/IN their/PRP$ time/NN so/IN to/TO speak/VB for/IN the/DT ,/, for/IN the/DT good/NN of/IN the/DT ,/, the/DT nation/NN and/CC for/IN the/DT good/NN of/IN themselves/PRP ./.","I think everybody [ should, + should, ] {F uh, } put in their time so to speak [ for the, + for the ] good of [ the, + the ] nation and for the good of themselves. /"
b,A,Yeah/UH ./.,Yeah. /
sv,B,"I/PRP think/VBP it/PRP 's/BES ,/, uh/UH ,/,","I think it's, {F uh, } - /"
sv,B,"would/MD every-/NN ,/, everyone/NN grow/VB up/RP and/CC mature/VB and/CC ,/, and/CC realize/VB what/WP this/DT country/NN 's/BES all/DT about/IN ./.","would [ every-, + everyone ] grow up and mature [ and, + and ] realize what this country's all about. /"
%,A,"I/PRP just/RB ,/, um/UH ,/,","I just, {F um, } <lipsmack> - /"
sd,A,"I/PRP guess/VBP that/DT 's/BES MUMBLEx/XX ,/, my/PRP$ ,/, that/DT 's/BES something/NN that/WDT my/PRP$ family/NN has/VBZ always/RB believed/VBN strongly/RB in/IN ,/,","I guess [ that's (( )), my, + that's something that my ] family has always believed strongly in, /"
sd,A,"and/CC ,/, uh/UH ,/, I/PRP had/VBD opportunities/NNS in/IN high/JJ school/NN ,/,","{C and, } {F uh, } I had opportunities in high school,"
x,B,./.,<Noise>.
+,A,"to/TO work/VB in/IN some/DT programs/NNS ,/, um/UH --/:","to work in some programs, {F um } -- /"
qy,B,Did/VBD you/PRP ?/.,Did you? /
ba,B,Oh/UH !/.,<Noise> <<like something fell>>. Oh! <<very faintly>>. /
sd,A,"--/: and/CC ,/, and/CC I/PRP agree/VBP with/IN what/WP you/PRP said/VBD that/IN it/PRP 's/BES ,/, uh/UH ,/,","-- [ {C and, } + {C and } ] I agree with what you said that [ it's, + {F uh, }"
x,B,./.,<Noise>.
+,A,it/PRP benefits/VBZ the/DT person/NN doing/VBG it/PRP --/:,<Sigh> it ] benefits the person doing it --
b,B,Uh-huh/UH ./.,Uh-huh. /
+,A,--/: so/RB much/RB I/PRP do/VBP n't/RB think/VB they/PRP realize/VBP,-- so much I don't think they realize /
sv,A,"and/CC I/PRP ,/, uh/UH ,/, I/PRP ,/, I/PRP think/VBP it/PRP gives/VBZ you/PRP a/DT better/JJR perspective/NN ,/,","{C and } [ [ I, + {F uh, } <lipsmack> I, ] + I ] think it gives you a better perspective,"
x,B,./.,<Noise>.
+,A,on/IN life/NN,on life /
