act_tag,speaker,pos,text
oo_co_cc,B,"Uh/UH ,/, tell/VB you/PRP what/WP ./. Um/UH ,/, I/PRP 'll/MD let/VB you/PRP start/VB ./.","{F Uh, } tell you what. {F Um, } I'll let you start <laughter>. /"
aa,A,Okay/UH ./.,Okay. /
sd,A,"My/PRP$ major/JJ source/NN of/IN information/NN ,/, I/PRP guess/VBP ,/, is/VBZ T/NN V/NN news/NN ./.","My major source of information, I guess, is T V news <throat_clearing>. /"
sd,A,"Excuse/VB me/PRP ./. I/PRP ,/, uh/UH ,/, wake/VBP up/RP to/IN it/PRP in/IN the/DT morning/NN ./.","{E Excuse me. } I, {F uh, } wake up to it in the morning. /"
sd,A,"This/DT is/VBZ my/PRP$ ,/, I/PRP guess/VBP ,/, my/PRP$ prime/JJ time/NN for/IN news/NN ,/, first/JJ thing/NN in/IN the/DT morning/NN while/IN I/PRP 'm/VBP getting/VBG ready/RB to/TO go/VB to/IN work/NN ./.","This is [ my, + I guess, my ] prime time for news, first thing in the morning while I'm getting ready to go to work. /"
sd,A,"Oh/UH ,/, I/PRP quite/RB frequently/RB glance/VBP through/IN headlines/NNS or/CC ,/, in/IN the/DT newspaper/NN ./.","{F Oh, } I quite frequently glance through headlines or, in the newspaper. /"
sd,A,"But/CC ,/, uh/UH ,/, primarily/RB mine/PRP is/VBZ T/NN V/NN news/NN ./.","{C But, } {F uh, } primarily mine is T V news. /"
qo,A,How/WRB about/IN yourself/PRP ?/.,How about yourself? /
b,B,Yeah/UH ./.,Yeah. /
sd,B,"I/PRP have/VBP to/TO ,/, have/VBP to/TO agree/VB with/IN you/PRP ,/, um/UH ,/,","I [ have to, + have to ] agree with you, {F um, } /"
sd,B,"I/PRP normally/RB do/VBP n't/RB have/VB time/NN in/IN the/DT morning/NN to/TO ,/, to/TO watch/VB any/DT type/NN of/IN T/NN V/NN ./.","I normally don't have time in the morning [ to, + to ] watch any type of T V. /"
sd,B,"Usually/RB catch/VBP it/PRP going/VBG to/IN work/NN on/IN the/DT radio/NN ./. Or/CC when/WRB I/PRP drag/VBP the/DT paper/NN in/IN from/IN the/DT front/NN and/CC it/PRP MUMBLEx/XX catch/VBP the/DT head/NN lines/NNS ,/, which/WDT is/VBZ normal/RB what/WP you/PRP see/VBP the/DT night/NN before/RB on/IN the/DT evening/NN news/NN ./.","Usually catch it going to work on the radio. Or when I drag the paper in from the front and [ it + ] (( )) catch the head lines, which is normal what you see the night before on the evening news. /"
aa,A,Huh-uh/UH ./.,"Huh-uh. / *[[ LISTEN-- I think this, and successive ""Huh-uh"" answers, should be ""Uh-huh""]]"
aa,A,True/JJ ./.,True. /
%,B,"So/RB I/PRP 've/VBP ,/, I/PRP 've/VBP kind/RB of/RB ,/,","{C So } [ I've, + I've ] kind of, - /"
sd,B,we/PRP have/VBP a/DT one/CD year/NN old/JJ in/IN the/DT house/NN,we have a one year old in the house /
sd,B,"so/RB it/PRP 's/BES kind/RB of/RB hard/JJ sometimes/RB to/TO watch/VB T/NN V/NN during/IN the/DT night/NN ,/,","{C so } it's kind of hard sometimes to watch T V during the night, /"
sd,B,"but/CC I/PRP usually/RB try/VBP to/TO catch/VB the/DT ten/CD o'clock/RB or/CC ,/, um/UH ,/,","{C but } I usually try to catch the ten o'clock or, {F um, }"
b,A,Huh-uh/UH ./.,Huh-uh. /
+,B,those/DT type/NN of/IN MUMBLEx/XX ./.,those type of (( )) . - /
