act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",A,Okay/UH ./.,Okay. /
ad,A,Tell/VB me/PRP about/IN your/PRP$ home/NN ./.,Tell me about your home. /
sd,B,"Well/UH ,/, it/PRP 's/BES an/DT older/JJR home/NN ./.","{D Well, } it's an older home. /"
sd,B,It/PRP was/VBD made/VBN back/RB in/IN the/DT early/JJ sixties/NNS ./.,It was made back in the early sixties. /
sd,B,It/PRP 's/BES a/DT pier/NN beam/NN house/NN ./.,It's a pier beam house. /
b,A,Huh-uh/UH ./.,Huh-uh. /
sd,B,"Got/VBD three/CD bedrooms/NNS ,/, one/CD bath/NN and/CC that/DT just/RB makes/VBZ me/PRP scream/VB ./.","Got three bedrooms, one bath and that just makes me scream. /"
ba,A,That/DT 's/BES pretty/RB tough/JJ ./.,<Laughter> That's pretty tough <laughter>. /
qw,A,What/WDT area/NN do/VBP you/PRP live/VB in/IN ?/.,What area do you live in? /
sd,B,I/PRP live/VBP in/IN Houston/NNP ./.,I live in Houston. /
bk,A,"Oh/UH ,/, okay/UH ./.","{F Oh, } okay. /"
b,A,I/PRP see/VBP ./.,I see. /
qy,A,Is/VBZ that/DT pretty/RB typical/JJ for/IN your/PRP$ area/NN ?/.,Is that pretty typical for your area? /
^h,B,"Well/UH ,/, for/IN the/DT neighborhood/NN I/PRP 'm/VBP in/IN ,/,","{D Well, } for the neighborhood I'm in, - /"
ny,B,"yeah/UH ,/,","yeah, /"
b^m,A,Yeah/UH ./.,Yeah. /
sd,B,"This/DT is/VBZ one/CD of/IN the/DT more/RBR established/JJ neighborhoods/NNS ,/,","This is one of the more established neighborhoods, /"
b,A,Huh-uh/UH ./.,Huh-uh. /
ba,A,That/DT sounds/VBZ real/RB interesting/JJ ./.,That sounds real interesting. /
sd,A,I/PRP live/VBP in/IN a/DT suburb/NN of/IN Dallas/NNP,I live in a suburb of Dallas /
sd,A,"and/CC ,/, uh/UH ,/, I/PRP live/VBP in/IN the/DT basic/JJ three/CD bedroom/NN ,/, two/CD bath/NN home/NN ./.","{C and, } {F uh, } I live in the basic three bedroom, two bath home. /"
sd,A,"So/RB ,/, at/IN least/JJS ,/, I/PRP have/VBP two/CD bathrooms/NNS ./.","{C So, } at least, I have two bathrooms. /"
sv,A,"That/DT 's/BES not/RB so/RB bad/JJ ,/,","That's not so bad, /"
sd,A,"but/CC ,/, uh/UH ,/, it/PRP 's/BES pretty/RB typical/JJ for/IN the/DT area/NN ,/, as/RB well/RB ./.","{C but, } {F uh, } it's pretty typical for the area, as well. /"
sd,A,"Uh/UH ,/, I/PRP 've/VBP always/RB been/VBN interested/JJ in/IN older/JJR homes/NNS ,/, personally/RB ./.","{F Uh, } I've always been interested in older homes, personally. /"
sv,A,"So/RB ,/, I/PRP think/VBP you/PRP can/MD end/VB up/RP doing/VBG more/RBR with/IN them/PRP ,/, it/PRP seems/VBZ like/IN ./.","{D So, } I think you can end up doing more with them, it seems like. /"
qo,A,What/WP about/IN yard/NN space/NN ?/.,What about yard space? /
qy,A,"Do/VBP you/PRP have/VB lot/NN of/IN ,/, a/DT big/JJ lot/NN ,/, or/CC anything/NN like/IN that/DT ?/.","Do you have [ lot of, + a big lot, ] or anything like that? /"
sd,B,The/DT whole/JJ lot/NN I/PRP 'm/VBP sitting/VBG on/IN is/VBZ roughly/RB half/PDT an/DT acre/NN ./.,The whole lot I'm sitting on is roughly half an acre. /
bk,A,"Oh/UH ,/, I/PRP see/VBP ./.","{F Oh, } I see. /"
