act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",A,"Okay/UH ,/,","Okay, /"
qw,A,"well/UH ,/, what/WP 's/BES your/PRP$ opinion/NN about/IN capital/NN punishment/NN ?/.","{D well, } what's your opinion about capital punishment? /"
sv,B,"Well/UH ,/, Cathy/NNP ,/, I/PRP think/VBP that/IN ,/, uh/UH ,/, capital/NN punishment/NN certainly/RB has/VBZ a/DT place/NN in/IN our/PRP$ society/NN ,/, um/UH ,/, maybe/RB from/IN the/DT sense/NN that/IN there/EX are/VBP some/DT things/NNS that/WDT we/PRP just/RB ca/MD n't/RB afford/VB to/TO have/VB repeated/VBN ,/, even/RB in/IN the/DT remote/JJ chance/NN of/IN repetition/NN ./.","{D Well, } Cathy, I think that, {F uh, } capital punishment certainly has a place in our society, {F um, } maybe from the sense that there are some things that we just can't afford to have repeated, even in the remote chance of repetition. /"
aa,A,"Right/UH ,/,","Right, /"
sv,A,"I/PRP think/VBP I/PRP would/MD agree/VB with/IN you/PRP on/IN that/DT ,/, too/RB ./.","I think I would agree with you on that, too. /"
sv,A,"I/PRP ,/, I/PRP ca/MD n't/RB see/VB any/DT point/NN in/IN keeping/VBG someone/NN who/WP 's/BES obviously/RB beyond/IN any/DT kind/NN of/IN rehabilitation/NN ,/, uh/UH ,/, keeping/VBG them/PRP ,/, you/PRP know/VBP ,/, paying/VBG for/IN them/PRP to/TO live/VB in/IN prison/NN for/IN years/NNS and/CC years/NNS and/CC years/NNS when/WRB you/PRP could/MD probably/RB just/RB eliminate/VB the/DT problem/NN ./.","[ I, + I ] can't see any point in keeping someone who's obviously beyond any kind of rehabilitation, {F uh, } [ keeping them, + ] {D you know, } paying for them to live in prison for years and years and years when you could probably just eliminate the problem. /"
sv,A,Maybe/RB spend/VB the/DT money/NN on/IN someone/NN who/WP could/MD possibly/RB be/VB helped/VBN ./.,Maybe spend the money on someone who could possibly be helped. /
aap_am,B,"That/DT might/MD be/VB true/JJ ,/,","That might be true, /"
%,B,"um/UH ,/, I/PRP 'm/VBP ,/,","{F um, } I'm, - /"
qh,B,"what/WP I/PRP do/VBP n't/RB know/VB ,/, is/VBZ where/WRB do/VBP we/PRP draw/VB the/DT line/NN ./.","what I don't know, is where do we draw the line. /"
b,A,Right/UH ./.,Right. /
qy,B,"Uh/UH ,/, do/VBP we/PRP say/VB that/IN every/DT one/CD who/WP commits/VBZ murder/NN in/IN the/DT first/JJ degree/NN is/VBZ liable/JJ for/IN capital/NN punishment/NN if/IN that/DT 's/BES what/WP the/DT jury/NN decides/VBZ is/VBZ an/DT appropriate/JJ punishment/NN for/IN their/PRP$ crime/NN ,/,","{F Uh, } do we say that every one who commits murder in the first degree is liable for capital punishment if that's what the jury decides is an appropriate punishment for their crime, /"
qrr,B,or/CC do/VBP we/PRP extend/VB it/PRP beyond/IN that/DT ?/.,{C or } do we extend it beyond that? /
b,A,"Uh-huh/UH ,/,","Uh-huh, /"
br,A,beyond/IN murder/NN or/CC just/RB beyond/IN like/UH first/JJ degree/NN murder/NN ?/.,beyond murder or just beyond {D like } first degree murder? /
no,B,"Well/UH ,/, either/DT ,/, you/PRP know/VBP ./.","{D Well, } either, {D you know. } /"
sd,B,"Uh/UH ,/, I/PRP have/VBP a/DT ,/, a/DT nine/CD year/NN old/JJ daughter/NN ,/,","{F Uh, } I have [ a, + a ] nine year old daughter, /"
sv,B,"and/CC there/EX are/VBP some/DT crimes/NNS that/WDT could/MD be/VB committed/VBN against/IN her/PRP$ that/WDT are/VBP not/RB even/RB considered/VBN capital/NN crimes/NNS ,/, that/WDT ,/, that/WDT I/PRP would/MD consider/VB basis/NN for/IN murder/NN ./.","{C and } there are some crimes that could be committed against her that are not even considered capital crimes, [ that, + that ] I would consider basis for murder. /"
b,A,Yeah/UH ./.,Yeah. /
b,A,"Yeah/UH ,/,","Yeah, /"
sv,A,well/UH that/DT really/RB gets/VBZ into/IN a/DT sticky/JJ issue/NN ./.,{D well } that really gets into a sticky issue. /
sd,A,"Uh/UH ,/, I/PRP could/MD see/VB that/DT too/RB ./.","{F Uh, } I could see that too. /"
sv,A,"I/PRP think/VBP there/EX 's/BES probably/RB things/NNS I/PRP could/MD think/VB of/IN short/RB of/IN murder/NN that/WDT someone/NN ,/, I/PRP think/VBP someone/NN would/MD probably/RB deserve/VB to/TO be/VB killed/VBN for/RB ./.","I think there's probably things I could think of short of murder that [ someone, + I think someone ] would probably deserve to be killed for. /"
ba,A,"But/CC ,/, gosh/UH ,/,","{C But, } gosh, /"
qh,A,"and/CC who/WP 's/BES going/VBG to/TO decide/VB which/WDT is/VBZ how/WRB bad/JJ ,/, you/PRP know/VBP ,/,","{C and } who's going to decide which is how bad, {D you know, } - /"
sv,A,"something/NN that/WDT to/IN you/PRP is/VBZ really/RB bad/JJ might/MD not/RB be/VB quite/RB so/RB bad/JJ to/IN me/PRP ,/,","something that to you is really bad might not be quite so bad to me, /"
sv,A,"and/CC ,/, uh/UH ,/, it/PRP 's/BES gets/VBZ into/IN a/DT pretty/RB sticky/JJ issue/NN ./.","{C and, } {F uh, } it's gets into a pretty sticky issue. /"
aa,B,"Yes/UH ,/,","Yes, /"
aa,B,it/PRP does/VBZ ./.,it does. /
sv,B,"A/DT lot/NN of/IN that/DT has/VBZ to/TO do/VB with/IN the/DT cultures/NNS that/WDT we/PRP grew/VBD up/RP in/IN and/CC what/WP 's/BES termed/VBN acceptable/JJ and/CC ,/, um/UH ,/, to/IN what/WP 's/BES allowable/JJ and/CC where/WRB are/VBP we/PRP ./.","A lot of that has to do with the cultures that we grew up in and what's termed acceptable and, {F um, } to what's allowable and where are we. /"
b,A,Right/UH ./.,Right. /
sv,B,"Uh/UH ,/, you/PRP know/VBP ,/, if/IN we/PRP were/VBD ,/, lived/VBD in/IN a/DT different/JJ country/NN ,/, then/RB murder/NN is/VBZ not/RB so/RB bad/JJ ./.","{F Uh, } {D you know, } if we [ were, + lived ] in a different country, then murder is not so bad. /"
b,A,Yeah/UH ./.,<Laughter> Yeah. /
sv,B,"But/CC over/IN here/RB ,/, where/WRB we/PRP 're/VBP promised/VBD the/DT civil/JJ liberties/NNS of/IN purs-/XX ,/, life/NN ,/, liberty/NN and/CC pursuit/NN of/IN happiness/NN ,/, then/RB taking/VBG that/DT away/RB is/VBZ a/DT ,/, a/DT heinous/JJ act/NN ./.","{C But } over here, where we're promised the civil liberties of [ purs-, + life, liberty and ] pursuit of happiness, then taking that away is [ a, + a ] heinous act. /"
b,A,"Yeah/UH ,/,","Yeah, /"
^2,A,in/IN some/DT eyes/NNS ./.,in some eyes. /
sv,A,I/PRP think/VBP some/DT people/NNS give/VBP up/RP that/DT ./.,I think some people give up that <laughter>. /
sv,A,"I/PRP think/VBP some/DT of/IN what/WP we/PRP consider/VBP rights/NNS are/VBP really/RB more/JJR privileges/NNS than/IN ,/, than/IN what/WP most/RBS people/NNS think/VBP of/IN them/PRP as/RB ./.","I think some of what we consider rights are really more privileges [ than, + than ] what most people think of them as. /"
sd,A,"I/PRP do/VBP n't/RB know/VB what/WP ,/, um/UH ,/, Texas/NNP 's/POS criteria/NNS for/IN capital/NN murder/NN is/VBZ ,/, do/VBP ,/, capital/NN punishment/NN is/VBZ ,/,","I don't know what, {F um, } Texas's criteria for [ capital murder is, + [ do, + ] capital punishment is, ] /"
qy,A,do/VBP you/PRP know/VB ?/.,do you know? /
qy,A,"Are/VBP there/EX some/DT set/JJ guidelines/NNS ,/, like/IN only/RB under/IN these/DT circumstances/NNS ?/.","Are there some set guidelines, like only under these circumstances? /"
h,B,I/PRP do/VBP n't/RB know/VB ./.,I don't know. /
sv,B,"I/PRP believe/VBP it/PRP 's/BES ,/, uh/UH ,/, at/IN the/DT discretion/NN of/IN the/DT judge/NN or/CC jury/NN ./.","I believe it's, {F uh, } at the discretion of the judge or jury. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,A,"I/PRP used/VBD to/TO live/VB in/IN Virginia/NNP ,/,","I used to live in Virginia, /"
sd,A,"and/CC I/PRP know/VBP when/WRB they/PRP first/JJ reinstated/VBD capital/NN punishment/NN it/PRP was/VBD only/RB ,/, um/UH ,/, if/IN someone/NN killed/VBD a/DT police/NN officer/NN or/CC someone/NN committed/VBD rape/NN and/CC then/RB murder/NN ./.","{C and } I know when they first reinstated capital punishment it was only, {F um, } if someone killed a police officer or someone committed rape and then murder. /"
sv,A,"Those/DT were/VBD the/DT only/RB two/CD circumstances/NNS where/WRB you/PRP could/MD give/VB someone/NN the/DT death/NN penalty/NN ,/, which/WDT I/PRP think/VBP is/VBZ a/DT little/JJ too/RB limited/JJ ./.","Those were the only two circumstances where you could give someone the death penalty, which I think is a little too limited. /"
aa,B,I/PRP tend/VBP to/TO agree/VB with/IN you/PRP there/RB ./.,I tend to agree with you there. /
sv,B,"Um/UH ,/, my/PRP$ belief/NN is/VBZ that/IN ,/, is/VBZ that/IN ,/, um/UH ,/, any/DT crime/NN that/WDT 's/BES freely/RB committed/VBN ,/, you/PRP know/VBP","{F Um, } my belief [ is that, + is that, ] {F um, } any crime that's freely committed, {D you know } - /"
%,B,freedom/NN of/IN choice/NN --/:,freedom of choice -- -/
b,A,Uh-huh/UH ./.,Uh-huh. /
sv,B,"--/: these/DT people/NNS had/VBD a/DT choice/NN of/IN committing/VBG this/DT crime/NN ,/, that/WDT involves/VBZ the/DT taking/NN of/IN another/DT 's/POS life/NN or/CC the/DT altering/VBG of/IN someone/NN 's/POS life/NN --/:","-- these people had a choice of committing this crime, that involves the taking of another's life or the altering of someone's life --"
b,A,Yeah/UH ./.,Yeah. /
+,B,"--/: such/IN as/IN rape/NN ,/, deserves/VBZ punishment/NN by/IN death/NN ./.","-- such as rape, deserves punishment by death. /"
sd,B,But/CC then/RB I/PRP 'm/VBP also/RB told/VBD that/IN I/PRP 'm/VBP a/DT pretty/RB harsh/JJ person/NN ./.,{C But } then I'm also told that I'm a pretty harsh person. /
b,A,"Yeah/UH ,/,","<Laughter> Yeah, /"
sd,A,"in/IN general/JJ terms/NNS I/PRP 'm/VBP not/RB so/RB harsh/JJ ,/,","in general terms I'm not so harsh, /"
sd,A,"but/CC then/RB whenever/WRB I/PRP hear/VBP of/IN a/DT specific/JJ case/NN ,/, you/PRP know/VBP ,/, where/WRB someone/NN did/VBD something/NN ,/, then/RB it/PRP 's/BES like/IN ,/, yeah/UH ,/, put/VB it/PRP to/IN them/PRP ./.","{C but } then whenever I hear of a specific case, {D you know, } where someone did something, then it's like, {D yeah, } put it to them <laughter>. /"
sd,A,"So/RB ,/, I/PRP think/VBP I/PRP probably/RB tend/VBP to/TO be/VB a/DT little/JJ bit/NN harsh/JJ ,/, too/RB ,/, as/RB far/RB as/IN that/DT goes/VBZ ./.","{C So, } I think I probably tend to be a little bit harsh, too, as far as that goes. /"
%,A,"Because/IN ,/,","Because, - /"
%,A,"yeah/UH ,/,","yeah, /"
aa,A,"I/PRP think/VBP you/PRP 're/VBP right/JJ ,/,","I think you're right, /"
sv,A,"that/DT person/NN voluntarily/RB gives/VBZ up/RP when/WRB they/PRP decide/VBP to/TO commit/VB that/DT crime/NN ,/,","that person voluntarily gives up when they decide to commit that crime, /"
