act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",A,"Okay/UH ,/,","Okay, /"
^h,A,let/VB 's/PRP see/VB ./.,let's see. /
%,A,"I/PRP think/VBP ,/, uh/UH ,/,","I think, {F uh, } - /"
sv,A,"I/PRP guess/VBP ,/, if/IN I/PRP call/VBP I/PRP 'm/VBP supposed/VBN to/TO start/VB ./.","I guess, if I call I'm supposed to start. /"
sd,A,"I/PRP think/VBP ,/, uh/UH ,/, that/DT 's/BES the/DT way/NN everybody/NN has/VBZ done/VBN it/PRP so/RB far/RB ./.","I think, {F uh, } that's the way everybody has done it so far. /"
aa,B,Okay/UH ./.,Okay. /
sv,A,"But/CC ,/, anyway/RB I/PRP think/VBP that/IN ,/, um/UH ,/, we/PRP are/VBP paying/VBG a/DT lot/NN in/IN taxes/NNS ,/,","{C But, } anyway I think that, {F um, } we are paying a lot in taxes, /"
sv,A,"but/CC I/PRP think/VBP that/IN we/PRP have/VBP a/DT government/NN and/CC we/PRP have/VBP a/DT lot/NN of/IN freedoms/NNS ,/, and/CC we/PRP have/VBP a/DT lot/NN of/IN things/NNS that/WDT the/DT governments/NNS do/VBP with/IN our/PRP$ money/NN ./.","{C but } I think that we have a government and we have a lot of freedoms, and we have a lot of things that the governments do with our money. /"
sv,A,"Um/UH ,/, we/PRP 're/VBP probably/RB one/CD of/IN the/DT ,/, the/DT only/JJ countries/NNS in/IN the/DT world/NN that/WDT has/VBZ all/PDT the/DT things/NNS that/WDT we/PRP have/VBP ./.","{F Um, } we're probably one of [ the, + the ] only countries in the world that has all the things that we have. /"
%,A,"The/DT ,/, you/PRP know/VBP ,/,","The, {D you know, } - /"
sv,A,"as/RB far/RB as/IN the/DT quality/NN of/IN the/DT streets/NNS ,/, the/DT school/NN systems/NNS ,/, um/UH ,/, the/DT hospital/NN stuff/NN that/WDT the/DT government/NN gives/VBZ money/NN to/IN ./. Um/UH ,/, the/DT ,/, you/PRP know/VBP ,/, all/PDT the/DT things/NNS that/IN the/DT government/NN does/VBZ like/IN that/DT ./. I/PRP ,/, uh/UH ,/, I/PRP think/VBP they/PRP need/VBP to/TO manage/VB it/PRP a/DT little/JJ bit/NN better/RB ,/,","as far as the quality of the streets, the school systems, {F um, } the hospital stuff that the government gives money to. {F Um, } the, {D you know, } all the things that the government does like that. [ I, + {F uh, } I ] think they need to manage it a little bit better, /"
sv,A,"but/CC I/PRP do/VBP n't/RB think/VB ,/, uh/UH ,/, anybody/NN is/VBZ just/RB going/VBG to/TO come/VB in/RB and/CC fix/VB it/PRP in/IN a/DT couple/NN of/IN weeks/NNS ,/, because/RB they/PRP 've/VBP been/VBN messing/VBG it/PRP up/RP for/IN many/JJ years/NNS ,/, now/RB ./.","{C but } I don't think, {F uh, } anybody is just going to come in and fix it in a couple of weeks, because they've been messing it up for many years, now. /"
%,A,"So/UH ,/,","{C So, } -/"
aa,B,I/PRP have/VBP to/TO agree/VB that/IN ./.,I have to agree that <laughter>. / *[[listen]]
b,A,Yeah/UH ./.,Yeah. /
aa,B,And/CC you/PRP 're/VBP right/JJ ./.,{C And } you're right. /
sv,B,"We/PRP ,/, I/PRP mean/VBP ,/, we/PRP ,/, you/PRP know/VBP ,/, we/PRP do/VBP have/VB a/DT good/JJ government/NN ./.","[ [ We, + {E I mean, } we, ] + {D you know, } we ] do have a good government. /"
sv,B,"We/PRP do/VBP have/VB a/DT lot/NN of/IN things/NNS that/WDT ,/, you/PRP know/VBP ,/, that/WDT ,/, you/PRP know/VBP ,/, the/DT taxes/NNS are/VBP there/RB to/TO support/VB ,/,","We do have a lot of things [ that, + {D you know, } that, ] {D you know, } the taxes are there to support, /"
sv,B,but/CC I/PRP do/VBP think/VB they/PRP 're/VBP mismanaged/VBN,{C but } I do think they're mismanaged /
sv,B,"and/CC I/PRP think/VBP that/IN sometimes/RB it/PRP 's/BES too/RB easy/JJ of/IN a/DT ,/, I/PRP do/VBP n't/RB know/VB ,/, to/^RB easy/JJ of/IN an/DT answer/NN ./.","{C and } I think that sometimes it's [ too easy of a, + I don't know, to easy of an ] answer. /"
sv,B,"It/PRP seems/VBZ to/TO say/VB ,/, I/PRP 'll/MD tax/VB them/PRP if/IN you/PRP ca/MD n't/RB get/VB enough/JJ money/NN ,/, instead/IN of/IN trying/VBG to/TO figure/VB out/RP how/WRB to/TO cut/VB budgets/NNS or/CC cut/VB spending/NN or/CC ,/, or/CC ,/, you/PRP know/VBP ,/, get/VB all/DT of/IN the/DT waste/NN out/IN of/IN the/DT spending/NN ./.","It seems to say, I'll tax them if you can't get enough money, instead of trying to figure out how to cut budgets or cut spending [ or, + or, ] {D you know, } get all of the waste out of the spending. /"
b,A,Huh-uh/UH ./.,Huh-uh. /
qh,B,"Uh/UH ,/, I/PRP do/VBP n't/RB know/VB what/WP y'all/NN are/VBP paying/VBG in/IN Dallas/NNP ,/,","{F Uh, } I don't know what y'all are paying in Dallas, /"
sv,B,"but/CC ,/, you/PRP know/VBP ,/, it/PRP seems/VBZ like/IN we/PRP pay/VBP the/DT state/NN ,/,","{C but, } {D you know, } it seems like we pay the (( state )) , - /"
%,B,"you/PRP know/VBP there/EX 's/BES a/DT ,/,","{D you know } there's a, - /"
sv,B,"the/DT taxes/NNS set/VBN by/IN ,/, you/PRP know/VBP ,/, the/DT state/NN and/CC the/DT city/NN can/MD add/VB theirs/PRP ,/,","the taxes set by, {D you know, } the state and the city can add theirs, /"
sv,B,"and/CC the/DT county/NN adds/VBZ theirs/PRP ,/,","{C and } the county adds theirs, /"
