act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",A,"Okay/UH ,/,","Okay, /"
sv,A,"I/PRP guess/VBP it/PRP took/VBD ,/,","I guess it took, - /"
sv,A,so/UH I/PRP guess/VBP the/DT recording/NN has/VBZ started/VBN now/RB ./.,{D so } I guess the recording has started now. /
b,B,Yeah/UH ./.,Yeah. /
%,A,Uh/UH ./.,{F Uh. } /
qy,B,"So/UH ,/, have/VBP you/PRP ever/RB served/VBN on/IN a/DT jury/NN ?/.","{D So, } have you ever served on a jury? /"
sd,A,"I/PRP served/VBD ,/,","I served, /"
sd,A,"I/PRP was/VBD in/IN the/DT Air/NNP Force/NNP ,/, and/CC served/VBD on/IN a/DT court/NN martial/JJ ,/, uh/UH ,/, board/NN a/DT couple/NN of/IN times/NNS ,/, which/WDT is/VBZ very/RB similar/JJ to/IN a/DT jury/NN ./.","I was in the Air Force, and served on a court martial, {F uh, } board a couple of times, which is very similar to a jury. /"
sd,A,A/DT lot/NN of/IN the/DT same/JJ rules/NNS apply/VBP ./.,A lot of the same rules apply. /
qy,A,Have/VBP you/PRP ever/RB served/VBN on/IN one/NN ?/.,Have you ever served on one? /
ny,B,"Yeah/UH ,/,","Yeah, /"
sd,B,I/PRP finally/RB served/VBD on/IN one/CD last/JJ year/NN ./.,I finally served on one last year. /
sd,B,"I/PRP 've/VBP ,/, um/UH ,/, been/VBN voting/VBG for/IN years/NNS ,/,","I've, {F um, } been voting for years, /"
sd,B,and/CC I/PRP could/MD n't/RB figure/VB out/RP why/WRB I/PRP had/VBD n't/RB been/VBN called/VBN yet/RB --/:,{C and } I couldn't figure out why I hadn't been called yet -- /
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,--/: and/CC I/PRP finally/RB was/VBD ./.,-- {C and } I finally was. /
sv,B,So/RB it/PRP was/VBD an/DT interesting/JJ experience/NN ./.,{C So } it was an interesting experience. /
sv,B,I/PRP was/VBD kind/RB of/RB boring/JJ ./.,"I was kind of boring. / *[[listen; should I be ""it""]]"
qy,A,Was/VBD it/PRP civil/JJ or/CC criminal/JJ ?/.,Was it civil or criminal? /
sd,B,"Uh/UH ,/, it/PRP was/VBD ,/, uh/UH --/:","{F Uh, } [ [ it was, + {F uh } --"
qrr,A,"A/DT grand/JJ jury/NN or/CC ,/,","A grand jury or, -/"
+,B,"--/: uh/UH ,/, it/PRP was/VBD ,/, uh/UH ,/, well/UH ,/, let/VB 's/PRP see/VB ,/, it/PRP was/VBD municipal/JJ court/NN --/:","-- {F uh, } it was, ] + {F uh, } {D well, } {D let's see, } it was ] municipal court -- /"
b,A,Uh-huh/UH ./.,Uh-huh. /
