act_tag,speaker,pos,text
qw,A,"So/UH ,/, what/WDT kind/NN of/IN music/NN you/PRP into/IN ?/.","{D So, } what kind of music you into? /"
sd,B,"Well/UH ,/, I/PRP have/VBP a/DT ,/, uh/UH ,/, pretty/RB wide/JJ taste/NN ,/, uh/UH ,/, in/IN music/NN ,/, ranging/VBG from/IN progressive/JJ rock/NN to/IN jazz/NN to/IN ,/, uh/UH ,/, lot/NN of/IN different/JJ forms/NNS of/IN ,/, uh/UH ,/, music/NN ./.","{D Well, } I have a, {F uh, } pretty wide taste, {F uh, } in music, ranging from progressive rock to jazz to, {F uh, } lot of different forms of, {F uh, } music. /"
sd,B,"In/IN fact/NN ,/, it/PRP 's/BES easier/JJR for/IN me/PRP to/TO say/VB ,/, uh/UH ,/, the/DT types/NNS of/IN music/NN that/WDT I/PRP do/VBP n't/RB like/VB are/VBP opera/NN and/CC ,/, uh/UH ,/, screaming/VBG heavy/JJ metal/NN ./.","In fact, it's easier for me to say, {F uh, } the types of music that I don't like are opera and, {F uh, } screaming heavy metal. /"
aa,A,"The/DT opera/NN ,/, yeah/UH ,/, it/PRP 's/BES right/RB on/IN track/NN ./.","<Laughter> The opera, {D yeah, } it's right on track. /"
sd,A,"I/PRP like/VBP classical/JJ ,/,","I like classical, /"
sd,A,but/CC I/PRP ca/MD n't/RB deal/VB with/IN opera/NN at/IN all/DT ./.,{C but } I can't deal with opera at all. /
x,B,./.,<Cough>.
sv,A,"And/CC heavy/JJ metal/NN ,/, uh/UH ,/, it/PRP 's/BES noisy/JJ ./.","{C And } heavy metal, {F uh, } it's noisy. /"
sd,A,"I/PRP 'm/VBP into/IN ,/, uh/UH ,/, some/DT industrial/JJ music/NN that/WDT 's/BES ,/, a/DT ,/, a/DT bit/NN even/RB harder/JJR than/IN that/DT ./.","I'm into, {F uh, } some industrial music that's, [ a, + a ] bit even harder than that. /"
b,B,Uh-huh/UH ./.,Uh-huh. /
sd,A,"But/CC it/PRP 's/HVS ,/, it/PRP 's/HVS got/VBN to/TO have/VB a/DT point/NN to/IN it/PRP ./.","{C But } [ it's, + it's ] got to have a point to it. /"
sd,B,"Oh/UH ,/, I/PRP do/VBP n't/RB mind/VB music/NN that/WDT 's/BES difficult/JJ to/TO listen/VB to/IN ,/,","{F Oh, } I don't mind music that's <child_yelling> difficult to listen to, /"
x,A,./.,<Laughter>.
sv,B,"but/CC ,/, uh/UH ,/, the/DT ,/, the/DT ,/, uh/UH ,/, basic/JJ point/NN of/IN heavy/JJ metal/NN w/WDT ,/, which/WDT seems/VBZ to/TO be/VB music/NN to/TO annoy/VB you/PRP ,/,","{C but, } {F uh, } [ the, + the, ] {F uh, } basic point of heavy metal [ w-, + which ] seems to be music to annoy you,"
x,A,./.,<Laughter>.
+,B,"is/VBZ ,/, uh/UH ,/, gets/VBZ a/DT little/RB annoying/JJ ./.","[ is, + {F uh, } gets ] a little annoying. /"
b,A,Yeah/UH ./.,Yeah. /
x,B,./.,<Laughter>.
qw,A,What/WDT kind/NN of/IN progressive/JJ stuff/NN ?/.,What kind of progressive stuff? /
sd,B,"Uh/UH ,/, lot/NN of/IN stuff/NN that/WDT actually/RB has/VBZ ,/, uh/UH ,/, ended/VBN up/RP becoming/VBG popular/JJ like/IN ,/, uh/UH ,/, Nirvana/NNP and/CC ,/, uh/UH ,/, oh/UH ,/, you/PRP know/VBP ,/,","{F Uh, } lot of stuff that actually has, {F uh, } ended up becoming popular like, {F uh, } Nirvana and, {F uh, } {F oh, } {D you know, } - /"
sd,B,"I/PRP 'm/VBP thirty/CD ,/,","I'm thirty, /"
sd,B,"so/RB lot/NN of/IN the/DT stuff/NN I/PRP was/VBD listening/VBG to/IN in/IN my/PRP$ teens/NNS like/IN the/DT Clash/NNP and/CC ,/, and/CC the/DT Sex/NNP Pistols/NNPS and/CC --/:","{C so } lot of the stuff I was listening to in my teens like the Clash [ and, + and ] the Sex Pistols and --"
%,A,uh/UH ./.,{F uh. } /
+,B,"--/: R/NNP E/NNP M/NNP ,/, that/IN sort/NN of/IN stuff/NN ./.","-- R E M, that sort of stuff. /"
sv,B,"Uh/UH ,/, R/NNP E/NNP M/NNP makes/VBZ me/PRP laugh/VB because/IN they/PRP 've/VBP gone/VBN from/IN a/DT college/NN radio/NN progressive/JJ group/NN to/IN being/VBG ,/, uh/UH ,/, you/PRP know/VBP ,/, ultra/RB mainstream/JJ at/IN this/DT point/NN ,/,","{F Uh, } R E M makes me laugh because they've gone from a college radio progressive group to being, {F uh, } {D you know, } ultra mainstream at this point, /"
sv,B,and/CC it/PRP 's/BES not/RB really/RB that/IN they/PRP 've/VBP changed/VBN their/PRP$ musical/JJ style/NN so/RB much/RB as/IN the/DT stream/NN changed/VBD ./.,{C and } it's not really that they've changed their musical style so much as the stream changed. /
aa,A,"Oh/UH ,/, yeah/UH ./.","{F Oh, } yeah. /"
aa,A,"Yeah/UH ,/,","Yeah, /"
sv,A,"it/PRP 's/BES ,/, a/DT lot/NN of/IN people/NNS l-/IN ,/, like/IN ,/, saying/VBG that/IN ,/, you/PRP know/VBP ,/, bands/NNS in/IN that/DT position/NN ,/, you/PRP know/VBP ,/, sold/VBN out/RP ./.","it's, a lot of people [ l-, + {D like, } ] saying that, {D you know, } bands in that position, {D you know, } sold out. /"
b,B,Uh-huh/UH ./.,Uh-huh. /
sv,A,"I/PRP think/VBP that/DT 's/BES pretty/RB much/JJ ,/, you/PRP know/VBP ,/, bull/NN ./.","I think that's pretty much, {D you know, } bull. /"
sv,A,Because/IN R/NNP E/NNP M/NNP really/RB has/VBZ n't/RB changed/VBN ./.,{C Because } R E M really hasn't changed. /
sv,A,"If/IN ,/, it/PRP 's/BES ,/, it/PRP 's/BES interesting/JJ ./.","If, [ it's, + it's ] interesting. -/"
x,B,./.,<Throat_clearing>.
sv,A,"They/PRP 're/VBP producing/VBG ,/, uh/UH ,/, similar/JJ music/NN","They're producing, {F uh, } similar music /"
sv,A,and/CC it/PRP 's/BES good/JJ music/NN --/:,{C and } it's good music -- /
b,B,Uh-huh/UH ./.,Uh-huh. /
sd,A,"--/: but/CC ,/, you/PRP know/VBP ,/, people/NNS have/VBP picked/VBN up/RP on/IN it/PRP ./.","-- {C but, } {D you know, } people have picked up on it. /"
x,B,./.,<Squeak>.
sv,A,That/DT 's/BES good/JJ ./.,That's good. /
aa,B,I/PRP think/VBP it/PRP is/VBZ ./.,I think it is. /
sv,A,I/PRP 'm/VBP impressed/JJ ./.,I'm impressed. /
sv,B,"Uh/UH ,/, for/IN a/DT while/NN there/RB ,/, music/NN seemed/VBD to/TO really/RB ha/VB ,/, popular/JJ music/NN seemed/VBD to/TO have/VB ,/, uh/UH ,/, not/RB a/DT lot/NN of/IN point/NN to/IN it/PRP ./.","{F Uh, } for a while there, [ music seemed to really ha-, + popular music seemed to have, ] {F uh, } not a lot of point to it. /"
sd,B,"I/PRP was/VBD really/RB tired/JJ of/IN ,/, uh/UH ,/, the/DT Michael/NNP Bolton/NNP ./.","I was really tired of, {F uh, } the Michael Bolton. /"
x,A,./.,<Laughter>.
sd,B,"Mi-/NNP ,/, Michael/NNP Bolton/NNP really/RB got/VBD on/IN my/PRP$ nerves/NNS because/IN he/PRP ,/,","[ Mi-, + Michael ] Bolton really got on my nerves because [ he, +"
x,A,./.,<Laughter>.
+,B,he/PRP was/VBD making/VBG all/PDT this/DT money/NN doing/VBG mediocre/JJ cover/NN tunes/NNS ./.,he ] was making all this money doing mediocre cover tunes. /
b,A,"Oh/UH ,/, yeah/UH ./.","{F Oh, } yeah. /"
sv,B,"And/CC I/PRP could/MD ,/, uh/UH ,/, go/VB down/IN to/IN a/DT bar/NN that/WDT 's/BES about/RB three/CD minutes/NNS from/IN my/PRP$ house/NN and/CC hear/VB people/NNS doing/VBG covers/NNS better/JJR than/IN him/PRP not/RB making/VBG nearly/RB as/RB much/JJ money/NN ./.","{C And } I could, {F uh, } go down to a bar that's about three minutes from my house and hear people doing covers better than him <laughter> not making nearly as much money. /"
sv,A,"Uh/UH ,/, but/CC he/PRP picked/VBD the/DT right/JJ songs/NNS","<Laughter> {F Uh, } {C but } he picked the right songs /"
sv,A,and/CC --/:,[ {C and } -- +
