act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",A,Your/PRP$ turn/NN ./.,<Static> Your turn. /
sd,B,"Oh/UH ,/, I/PRP ,/, I/PRP start/VBP ./.","{F Oh, } [ I, + I ] start. /"
aa,B,Okay/UH ./.,Okay. /
sd,B,"Well/UH ,/, uh/UH ,/, we/PRP keep/VBP a/DT budget/NN to/IN an/DT extent/NN ./.","{D Well, } {F uh, } we keep a budget to an extent. /"
sd,B,"Uh/UH ,/, and/CC really/RB ,/, i-/PRP ,/, i-/PRP ,/, we/PRP were/VBD really/RB forced/VBN into/IN keeping/VBG a/DT budget/NN because/IN I/PRP 'm/VBP ,/, I/PRP 'm/VBP paid/VBN once/RB a/DT month/NN which/WDT sort/RB of/RB ,/, sort/RB of/RB forces/VBZ some/DT ,/, uh/UH ,/, uh/UH ,/, restrictions/NNS","{F Uh, } {C and } [ really, + [ [ i-, + i-, ] + we ] were really ] forced into keeping a budget because [ I'm, + I'm ] paid once a month which [ sort of, + sort of ] forces some, {F uh, } {F uh, } restrictions /"
sd,B,and/CC you/PRP need/VBP to/TO make/VB sure/JJ all/DT your/PRP$ bills/NNS are/VBP paid/JJ ./.,{C and } you need to make sure all your bills are paid. /
qo,B,"Uh/UH ,/, about/IN yourself/PRP ?/.","{F Uh, } about yourself? /"
sd,A,"Well/UH ,/, I/PRP have/VBP to/TO say/VB I/PRP really/RB do/VBP n't/RB have/VB a/DT budget/NN ./.","{D Well, } I have to say I really don't have a budget. /"
sd,A,"Both/DT my/PRP$ wife/NN and/CC I/PRP ,/, uh/UH ,/, grew/VBD up/RP in/IN ,/, uh/UH ,/, families/NNS of/IN rather/RB modest/JJ means/NN","Both my wife and I, {F uh, } grew up in, {F uh, } families of rather modest means /"
sd,A,"and/CC ,/, uh/UH ,/, our/PRP$ family/NN income/NN ,/, at/IN this/DT point/NN ,/, is/VBZ comfortable/JJ ./. Upper/JJ middle/NN class/NN I/PRP guess/VBP you/PRP might/MD say/VB ./.","{C and, } {F uh, } our family income, at this point, is comfortable. Upper middle class I guess you might say. /"
sd,A,"And/CC ,/, uh/UH ,/, we/PRP 're/VBP both/DT so/RB ,/, uh/UH ,/, frugal/JJ that/IN ,/, uh/UH ,/, we/PRP really/RB do/VBP n't/RB need/VB a/DT budget/NN ,/, you/PRP know/VBP ./.","{C And, } {F uh, } we're both so, {F uh, } frugal that, {F uh, } we really don't need a budget, {D you know. } /"
sd,A,We/PRP just/RB sort/RB of/RB invest/VBP the/DT money/NN and/CC go/VBP on/IN vacations/NNS and/CC always/RB never/RB seem/VBP to/TO have/VB any/DT money/NN problems/NNS which/WDT I/PRP guess/VBP is/VBZ a/DT comfortable/JJ thing/NN ./.,We just sort of invest the money and go on vacations and always never seem to have any money problems which I guess is a comfortable thing. /
b,B,Yeah/UH ./.,Yeah. /
sv,B,"Well/UH I/PRP guess/VBP that/DT really/RB is/VBZ sort/RB of/RB ,/, uh/UH ,/, keeping/VBG a/DT budget/NN ,/,","{D Well } I guess that really is sort of, {F uh, } keeping a budget, /"
bf,B,"you/PRP know/VBP ./. You/PRP stay/VBP within/IN your/PRP$ ,/, uh/UH --/:","{D you know. } You stay [ within your, + {F uh } --"
b^m,A,Well/UH we/PRP stay/VBP within/IN our/PRP$ means/NN,{D Well } we stay within our means /
sd,A,but/CC we/PRP --/:,{C but } we --
+,B,--/: within/IN your/PRP$ means/NN ./.,-- within your ] means. /
+,A,"--/: do/VBP n't/RB do/VB it/PRP ,/, uh/UH ,/, by/IN conscious/JJ effort/NN ./.","-- don't do it, {F uh, } by conscious effort. /"
