act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",A,"Uh/UH ,/, well/UH ,/, let/VB 's/PRP see/VB ./.","{F Uh, } {D well, } let's see. /"
qw,B,"How/WRB many/JJ ,/,","How many, - /"
sd,B,"you/PRP said/VBD yours/PRP are/VBP all/DT ,/,","you said yours are all, - /"
sv,B,"I/PRP mean/VBP ,/, that/DT sounds/VBZ like/IN an/DT army/NN ./.","{E I mean, } that sounds like an army. /"
sd,A,Five/CD ./.,<Laughter> Five. /
ba,B,"Oh/UH ,/, lord/NNP ./.","{F Oh, } lord. /"
x,A,,<Laughter>.
sv,B,"That/DT is/VBZ an/DT army/NN ,/,","That is an army, /"
sd,B,"I/PRP came/VBD from/IN a/DT family/NN of/IN six/CD ,/,","I came from a family of six, /"
x,A,,</Laughter>.
sd,B,"and/CC I/PRP have/VBP only/RB got/VBN two/CD ,/,","{C and } I have only got two, /"
sd,B,"and/CC they/PRP are/VBP ,/, one/CD .../:","{C and } they are, one ... -/"
sv,A,"Well/UH MUMBLEx/XX any/DT number/NN is/VBZ nice/JJ ,/, let/VB me/PRP tell/VB you/PRP ./.","{D Well } (( )) any number is nice, let me tell you. /"
sv,B,"Well/UH ,/, I/PRP kind/RB of/RB decided/VBD that/IN single/JJ ,/, single/JJ children/NNS that/IN ,/, that/DT ,/, that/DT 's/BES not/RB parenting/VBG ,/,","{D Well, } I kind of decided that [ single, + single ] children that, [ that, + that's ] not parenting, /"
sv,B,that/DT 's/BES a/DT hobby/NN ./.,that's a hobby. /
b,A,Yeah/UH ./.,Yeah. /
%,B,"But/CC ,/,","{C But, } -/"
sv,A,"It/PRP 's/BES not/RB as/RB fair/JJ to/IN the/DT children/NNS either/RB ,/, I/PRP do/VBP not/RB think/VB ./.","It's not as fair to the children either, I do not think. /"
ad,B,"Well/UH ,/, do/VB not/RB tell/VB that/DT to/IN all/DT my/PRP$ friends/NNS ./.","{D Well, } do not tell that to all my friends. /"
x,A,,<Laughter>.
sd,B,They/PRP are/VBP into/IN quality/NN time/NN ./.,They are into quality time. /
b,A,Oh/UH ./.,Oh. /
sd,B,I/PRP am/VBP into/IN getting/VBG through/IN the/DT day/NN ./.,I am into getting through the day. /
b,A,"Yeah/UH ,/,","Yeah, /"
sv,A,but/CC sometimes/RB you/PRP can/MD hurt/VB them/PRP by/IN having/VBG too/RB much/JJ quality/NN time/NN too/RB ./.,{C but } sometimes you can hurt them by having too much quality time too. /
sd,B,"Well/UH I/PRP ,/, I/PRP ,/, I/PRP can/MD spot/VB a/DT kid/NN who/WP really/RB ,/, you/PRP know/VBP ,/, whose/WP$ parents/NNS spend/VBP every/DT ,/,","<Noise> <<it sounds as if speaker B is washing dishes>>. {D Well } [ [ I, + I, ] + I ] can spot a kid [ who really, + {D you know, } whose parents ] spend every,"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,"quality/NN time/NN with/IN them/PRP ,/, you/PRP know/VBP ,/, outside/IN of/IN the/DT work/NN day/NN ./.","quality time with them, {D you know, } outside of the work day. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"And/CC when/WRB I/PRP take/VBP care/NN of/IN some/DT people/NNS 's/POS kids/NNS ,/,","{C And } when I take care of some people's kids,"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,"you/PRP know/VBP ,/,","{D you know, } - /"
sd,B,"when/WRB they/PRP ,/, when/WRB they/PRP have/VBP teachers/NNS '/POS holidays/NNS ,/,","[ when they, + when they ] have teachers' holidays,"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,"and/CC that/DT kind/NN of/IN stuff/NN ,/, I/PRP will/MD take/VB my/PRP$ friends/NNS '/POS kids/NNS ,/,","and that kind of stuff, I will take my friends' kids,"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,"that/WDT are/VBP usually/RB in/IN day/NN care/NN ,/,","that are usually in day care, /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sv,B,"and/CC you/PRP can/MD spot/VB them/PRP ,/,","{C and } you can spot them,"
aa,A,You/PRP can/MD tell/VB ./.,You can tell. /
+,B,because/IN they/PRP have/VBP no/DT idea/NN how/WRB to/TO hang/VB out/RP and/CC mess/VB around/RP ./.,because they have no idea how to hang out and mess around. /
sv,A,How/WRB to/TO just/RB entertain/VB themselves/PRP ./.,How to just entertain themselves. /
b,B,Yeah/UH ./.,Yeah. /
b^m,A,"Yeah/UH ,/,","Yeah, /"
b,A,yeah/UH ./.,yeah. /
b,B,Really/UH ./.,Really. /
sv,A,It/PRP 's/BES a/DT problem/NN for/IN any/DT child/NN,It's a problem for any child /
sv,A,"and/CC you/PRP take/VBP one/CD that/DT 's/BES used/JJ to/TO being/VBG ,/, uh/UH ,/, busy/JJ being/VBG ,/, having/VBG something/NN to/TO do/VB all/PDT the/DT time/NN ,/, it/PRP makes/VBZ a/DT big/JJ difference/NN ./.","{C and } you take one that's used to being, {F uh, } busy [ being, + having ] something to do all the time, it makes a big difference. /"
sd,B,"It/PRP 's/BES not/RB a/DT problem/NN for/IN my/PRP$ two/CD ,/,","It's not a problem for my two, /"
sd,B,they/PRP are/VBP only/RB eighteen/CD months/NNS apart/RB ./.,they are only eighteen months apart <sigh>. /
qy^d,A,"uh/UH ,/, keeps/VBZ you/PRP busy/JJ ./.","{F uh, } keeps you busy. /"
arp_nd,B,"They/PRP can/MD find/VB things/NNS to/TO do/VB and/CC mess/VB around/RP ,/,","They can find things to do and mess around,"
b,A,Yeah/UH ./.,Yeah. /
