act_tag,speaker,pos,text
qw,A,"Well/UH ,/, what/WP 's/BES your/PRP$ favorite/JJ baseball/NN team/NN ,/, Rita/NNP ?/.","{D Well, } what's your favorite baseball team, Rita? /"
qy,B,"Well/UH ,/, I/PRP suppose/VBP I/PRP 'm/VBP supposed/VBN to/TO say/VB the/DT Rangers/NNPS ,/, right/UH ./.","{D Well, } I suppose I'm supposed to say the Rangers, right <laughter>. /"
qy,B,"Is/VBZ that/DT what/WP I-/XX ,/,","Is that what I-, -/"
x,A,./.,<Laughter>.
qy,B,is/VBZ the/DT million/CD dollar/NN question/NN here/RB ?/.,is the million dollar question here? /
no,A,"Well/UH ,/, that/DT is/VBZ n't/RB a/DT ,/, a/DT true/JJ false/JJ or/CC right/JJ or/CC wrong/JJ test/NN here/RB ./.","{D Well, } that isn't [ a, + a ] true false or right or wrong test here. /"
b,B,Yeah/UH ./.,<Laughter> Yeah. /
sd,B,"Uh/UH ,/, uh/UH ,/, you/PRP know/VBP ,/, I/PRP would/MD like/VB to/TO say/VB the/DT Rangers/NNPS ,/,","{F Uh, } {F uh, } {D you know, } I would {D like } to say the Rangers, /"
sd,B,but/CC unfortunately/RB they/PRP 're/VBP not/RB ./.,{C but } unfortunately they're not. /
sd,B,"I/PRP was/VBD from/IN Illinois/NNP ,/,","I was from Illinois, /"
sd,B,and/CC my/PRP$ favorite/JJ team/NN was/VBD the/DT White/NNP Sox/NNP ./.,{C and } my favorite team was the White Sox. /
qy,A,"Not/RB a/DT Cubbies/NNPS fan/NN ,/, huh/UH ./.","Not a Cubbies fan, {F huh. } /"
nn,B,"No/UH ,/,","No, /"
nn,B,"no/UH ,/,","no, /"
sd,B,"my/PRP$ family/NN ,/, my/PRP$ dad/NN was/VBD ,/,","[ my family, + my dad ] was, /"
sd,B,but/CC I/PRP turned/VBD out/RP to/TO be/VB a/DT White/NNP Sox/NNP fan/NN ./.,{C but } I turned out to be a White Sox fan. /
bd,A,"Well/UH ,/, that/DT 's/BES all/RB right/JJ ./.","{D Well, } that's all right. /"
sd,B,I/PRP lived/VBD in/IN Chicago/NNP ./.,I lived in Chicago. /
qo,A,How/WRB do/VBP you/PRP expect/VB them/PRP to/TO do/VB this/DT year/NN ?/.,How do you expect them to do this year? /
b,B,Yeah/UH,Yeah /
sd,B,they/PRP did/VBD pretty/RB well/RB ./.,they did pretty well. /
bk,A,Okay/UH ./.,Okay. /
qo,B,What/WP did/VBD you/PRP think/VB of/IN the/DT World/NNP Series/NNP ?/.,What did you think of the World Series? /
^h,A,"Well/UH ,/, I/PRP 'll/MD tell/VB you/PRP ./.","{D Well, } I'll tell you. /"
sd,A,"I/PRP just/RB ,/, uh/UH ,/, moved/VBD down/IN from/IN South/NNP Dakota/NNP in/IN July/NNP ,/,","I just, {F uh, } moved down from South Dakota in July, /"
sd,A,"and/CC ,/, uh/UH ,/, in/IN South/NNP Dakota/NNP ,/, the/DT Minnesota/NNP Twins/NNPS are/VBP the/DT closest/JJS professional/JJ sports/NNS team/NN to/IN where/WRB I/PRP was/VBD living/VBG --/:","{C and, } {F uh, } in South Dakota, the Minnesota Twins are the closest professional sports team to where I was living -- /"
b,B,Uh-huh/UH ./.,Uh-huh. /
sd,A,"--/: and/CC so/RB everybody/NN was/VBD a/DT Twins/NNPS fan/NN ,/,","-- {C and so } everybody was a Twins fan, /"
sd,A,"and/CC I/PRP was/VBD kind/RB of/RB ,/, uh/UH ,/, did/VBD n't/RB have/VB much/JJ interest/NN in/IN the/DT Twins/NNPS ,/, you/PRP know/VBP ,/,","{C and } I [ was kind of, + ] {F uh, } didn't have much interest in the Twins, {D you know, } /"
sd,A,"it/PRP was/VBD ,/, it/PRP was/VBD kind/RB of/RB pathetic/JJ ,/, I/PRP mean/VBP ,/,","[ it was, + it was ] kind of pathetic, {E I mean, } /"
sd,A,"we/PRP only/RB had/VBD two/CD radio/NN stations/NNS ,/,","we only had two radio stations, /"
sd,A,"and/CC one/CD of/IN them/PRP broadcast/VBD every/DT Twins/NNPS game/NN live/JJ ,/, you/PRP know/VBP ,/,","{C and } one of them broadcast every Twins game live, {D you know, } /"
sd,A,"and/CC ,/, and/CC the/DT other/JJ one/NN was/VBD country/JJ ./.","[ {C and, } + {C and } ] the other one was country. /"
qy,B,"So/RB you/PRP did/VBD n't/RB really/RB have/VB a/DT lot/NN of/IN choice/NN ,/, did/VBD you/PRP ./.","<Laughter> {C So } you didn't really have a lot of choice, did you. /"
na,A,"So/RB ,/, that/DT 's/BES right/JJ ./.","<Laughter> {C So, } that's right. /"
x,B,./.,<Laughter>.
sd,A,"There/EX 's/BES was/VBD Twins/NNPS there/RB ,/, or/CC ,/, you/PRP know/VBP --/:","There's was Twins there, or, {D you know } --"
^2,B,Or/CC country/JJ ./.,Or country. /
+,A,--/: Skip/NNP Williams/NNP ./.,-- Skip Williams. /
b,B,Yeah/UH ./.,Yeah. /
sd,B,"Oh/UH ,/, uh/UH ,/, and/CC I/PRP was/VBD routing/VBG for/IN the/DT Twins/NNPS myself/PRP because/IN ,/, uh/UH ,/, they/PRP ,/, a/DT couple/NN of/IN Ranger/NNP players/NNS that/WDT I/PRP had/VBD watched/VBN when/WRB we/PRP first/RB moved/VBD here/RB ,/, uh/UH ,/, went/VBD to/IN Minnesota/NNP ,/,","{F Oh, } {F uh, } {C and } I was routing for the Twins myself because, {F uh, } [ they, + ] a couple of Ranger players that I had watched when we first moved here, {F uh, } went to Minnesota, /"
sd,B,"and/CC we/PRP used/VBD to/TO tease/VB about/IN ,/, my/PRP$ son/NN","{C and } we used to tease [ about, + ] my son /"
sd,B,"and/CC I/PRP used/VBD to/TO have/VB a/DT bet/NN going/VBG about/IN some/DT of/IN the/DT players/NNS that/WDT had/VBD moved/VBN from/IN here/RB to/IN Minnesota/NNP ,/,","{C and } I used to have a bet going about some of the players that had moved from here to Minnesota, /"
sv,B,"but/CC it/PRP was/VBD int-/XX ,/, it/PRP certainly/RB was/VBD an/DT exciting/JJ Series/NN ,/, anyway/RB ./.","{C but } [ it was int-, + it certainly was ] an exciting Series, anyway. /"
aa,A,"It/PRP sure/RB was/VBD ,/,","It sure was, /"
aa,A,it/PRP sure/RB was/VBD ./.,it sure was. /
qo,B,What/WP do/VBP you/PRP think/VB going/VBG to/TO happen/VB to/IN the/DT Rangers/NNPS ?/.,What do you think going to happen to the Rangers? /
sd,A,"Well/UH ,/, I/PRP --/:","{D Well, } [ I -- +"
qrr,B,Or/CC can/MD we/PRP predict/VB ?/.,{C Or } can we predict? /
+,A,"--/: I/PRP would/MD like/VB to/TO a/VB ,/, a/VB ,/, assume/VB that/IN they/PRP 're/VBP going/VBG to/TO do/VB ,/, do/VB better/RBR this/DT coming/VBG year/NN ,/,","-- I ] would like to [ [ a-, + a-, ] + assume ] that they're going to [ do, + do ] better this coming year, /"
sd,A,I/PRP was/VBD sure/RB hopeful/JJ anyway/UH ./.,I was sure hopeful anyway. /
sd,A,"When/WRB we/PRP moved/VBD down/RB ,/, uh/UH ,/, I/PRP was/VBD able/JJ to/TO go/VB to/IN my/PRP$ first/RB ,/, you/PRP know/VBP baseball/NN game/NN ,/, and/CC --/:","When we moved down, {F uh, } I was able to go to my first, {D you know } baseball game, and --"
b,B,Uh-huh/UH ./.,Uh-huh. /
+,A,"--/: thought/NN ,/, this/DT is/VBZ great/JJ ,/, this/DT is/VBZ incredible/JJ ./.","-- thought, this is great, this is incredible. /"
sd,A,So/RB I/PRP became/VBD a/DT Rangers/NNPS fan/NN ./.,{C So } I became a Rangers fan. /
sd,A,I/PRP did/VBD n't/RB really/RB have/VB one/CD in/IN South/NNP Dakota/NNP ./.,I didn't really have one in South Dakota. /
sd,A,"So/RB I/PRP adopted/VBD the/DT Rangers/NNPS ,/,","{C So } I adopted the Rangers, /"
sd,A,"or/CC rather/RB they/PRP adopted/VBD me/PRP ,/, I/PRP guess/VBP --/:","{C or } rather they adopted me, I guess -- /"
b,B,Uh-huh/UH ./.,Uh-huh. /
sd,A,"--/: and/CC ,/, uh/UH ,/, it/PRP was/VBD just/RB exciting/JJ ,/, you/PRP know/VBP ,/,","-- {C and, } {F uh, } it was just exciting, {D you know, } /"
sd,A,you/PRP can/MD watch/VB baseball/NN on/IN T/NN V/NN,you can watch baseball on T V /
sd,A,"and/CC they/PRP hit/VBP the/DT long/JJ ball/NN ,/,","{C and } they hit the long ball, /"
sd,A,"and/CC it/PRP looks/VBZ like/IN wow/UH ,/, they/PRP really/RB hit/VBP that/DT ball/NN ./.","{C and } it looks like wow, they really hit that ball. /"
sv,A,"But/CC when/WRB you/PRP go/VBP to/IN the/DT ball/NN park/NN ,/, it/PRP 's/BES really/RB not/RB all/RB that/RB far/RB --/:","{C But } when you go to the ball park, it's really not all that far --"
aa,B,No/UH ./.,No. /
+,A,"--/: you/PRP know/VBP ,/,","-- {D you know, } /"
sv,A,"and/CC it/PRP 's/BES so/RB much/RB more/RBR exciting/JJ watching/VBG a/DT ball/NN come/VB at/IN you/PRP ,/,","{C and } it's so much more exciting watching a ball come at you, /"
%,A,and/CC ./.,{C and. } -/
