act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",A,Okay/UH ./.,Okay <laughter>. /
qy,B,Was/VBD I/PRP supposed/VBN to/TO do/VB something/NN ?/.,Was I supposed to do something? /
nn,A,No/UH ./.,No. /
sd,A,I/PRP had/VBD to/TO press/VB one/CD ./.,I had to press one. /
ba,B,Good/JJ ./.,Good <laughter>. /
x,A,,<Laughter>.
^h,B,"Uh/UH ,/, let/VB 's/PRP see/VB ,/,","{F Uh, } let's see, /"
qy,B,"so/RB ,/, uh/UH ,/, were/VBD we/PRP right/JJ in/IN the/DT Middle/NNP East/NNP ?/.","{C so, } {F uh, } were we right in the Middle East? /"
na,A,Sure/UH ./.,Sure. /
qy,B,Should/MD we/PRP have/VB been/VBN there/RB ?/.,Should we have been there? /
ny,A,Uh-huh/UH ./.,Uh-huh. /
qy,B,Did/VBD we/PRP do/VB what/WP was/VBD correct/JJ there/RB ?/.,Did we do what was correct there? /
sv,A,I/PRP think/VBP we/PRP should/MD have/VB stayed/VBN longer/RBR ./.,I think we should have stayed longer. /
qy,B,Should/MD we/PRP have/VB fought/VBN them/PRP harder/RBR ?/.,Should we have fought them harder? /
qy^d,B,Used/VBN more/JJR weapons/NNS equal/JJ to/IN their/PRP$ chemical/NN weapons/NNS that/WDT were/VBD n't/RB used/VBN ?/.,Used more weapons equal to their chemical weapons that weren't used? /
na,A,"Uh/UH ,/, I/PRP think/VBP what/WP we/PRP did/VBD was/VBD good/JJ ,/,","{F Uh, } I think what we did was good, /"
sv,A,but/CC I/PRP think/VBP we/PRP just/RB should/MD have/VB stayed/VBN there/RB longer/RBR and/CC continued/VBD doing/VBG what/WP we/PRP did/VBD do/VB ./.,{C but } I think we just should have stayed there longer and continued doing what we did do. /
qy^d,B,"Oh/UH ,/, you/PRP agree/VBP with/IN Schwartzkopf/NNP who/WP says/VBZ ,/, uh/UH ,/, Drive/VB on/IN into/IN Baghdad/NNP ./.","{F Oh, } you agree with Schwartzkopf who says, {F uh, } Drive on into Baghdad. /"
ny,A,Yeah/UH ./.,Yeah. /
sv,A,I/PRP think/VBP we/PRP should/MD have/VB stayed/VBN and/CC kind/RB of/RB helped/VBD the/DT people/NNS in/IN Iraq/NNP out/RP now/RB because/IN it/PRP 's/BES kind/RB of/RB like/IN a/DT civil/JJ war/NN going/VBG on/RP now/RB ./.,I think we should have stayed and kind of helped the people in Iraq out now because it's kind of like a civil war going on now. /
sv,A,And/CC it/PRP 's/BES almost/RB like/IN they/PRP 're/VBP killing/VBG each/DT other/NN off/RP,{C And } it's almost like they're killing each other off /
sv,A,and/CC there/EX is/VBZ not/RB going/VBG to/TO be/VB anything/NN left/VBN of/IN Iraq/NNP at/IN all/DT ./.,{C and } there is not going to be anything left of Iraq at all <noise> <<sounds like zipping>>. /
qy,B,Would/MD that/DT be/VB so/RB bad/JJ ?/.,Would that be so bad? /
