act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",A,"Right/UH ,/,","Right, /"
sd,A,"uh/UH ,/, actually/RB I/PRP lived/VBD over/IN in/IN Europe/NNP for/IN a/DT couple/NN of/IN years/NNS ,/,","{F uh, } {D actually } I lived over in Europe for a couple of years, /"
sd,A,I/PRP lived/VBD in/IN Germany/NNP,I lived in Germany /
sd,A,and/CC in/IN Germany/NNP they/PRP do/VBP n't/RB have/VB the/DT jury/NN system/NN ./.,{C and } in Germany they don't have the jury system. /
sd,A,"What/WP they/PRP do/VBP is/VBZ they/PRP have/VBP ,/, uh/UH ,/, three/CD judges/NNS ,/, basically/RB ./.","What they do is they have, {F uh, } three judges, basically. /"
sd,A,And/CC you/PRP get/VBP up/IN there/RB,{C And } you get up there /
sd,A,and/CC the/DT prosecuting/VBG attorney/NN presents/VBZ his/PRP$ evidence/NN,{C and } the prosecuting attorney presents his evidence /
sd,A,and/CC your/PRP$ defense/NN attorney/NN presents/VBZ their/PRP$ evidence/NN,{C and } your defense attorney presents their evidence /
sd,A,"and/CC those/DT three/CD guys/NNS take/VBP the/DT evidence/NN ,/, go/VBP off/RP ,/, figure/VBP it/PRP out/RP and/CC then/RB come/VBP back/RB and/CC say/VBP whether/IN you/PRP 're/VBP guilty/JJ or/CC not/RB ./.","{C and } those three guys take the evidence, go off, figure it out and then come back and say whether you're guilty or not. /"
sv,B,"Ou-/PRP$ ,/, ou-/PRP$ ,/, our/PRP$ judicial/JJ system/NN is/VBZ in/IN such/JJ total/JJ chaos/NN ./.","<Sneezing> [ [ Ou-, + ou-, ] + our ] judicial system is in such total chaos. /"
x,A,./.,<Laughter>. /
sv,B,"I/PRP think/VBP what/WP they/PRP need/VBP to/TO do/VB is/VBZ ,/, they/PRP need/VBP to/TO somehow/RB take/VB the/DT money/NN out/IN of/IN it/PRP ./.","I think what they need to do is, they need to somehow <lipsmack> take the money out of it. /"
sd,B,"I/PRP mean/VBP ,/, when/WRB you/PRP have/VBP a/DT man/NN that/WDT 's/HVS signed/VBN a/DT ,/, a/DT ,/, a/DT statement/NN saying/VBG he/PRP 's/BES guilty/JJ ,/,","{E I mean, } when you have a man that's signed [ [ a, + a, ] + a ] statement saying he's guilty, - /"
sd,B,"we/PRP have/VBP a/DT ,/, a/DT family/NN called/VBN All/PDT day/NN family/NN ./.","we have [ a, + a ] family called All day family. /"
sd,B,They/PRP were/VBD all/DT murdered/VBN ./.,They were all murdered. /
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"All/PDT the/DT people/NNS signed/VBD confessions/NNS ,/,","All the people signed confessions, /"
