act_tag,speaker,pos,text
"fo_o_fw_""_by_bc",A,"Okay/UH ,/,","Okay, /"
qo,A,"uh/UH ,/, what/WP do/VBP you/PRP consider/VB an/DT invasion/NN of/IN privacy/NN ?/.","{F uh, } what do you consider an invasion of privacy? /"
sd,B,"Uh/UH ,/, I/PRP was/VBD just/RB now/RB told/VBN that/DT 's/BES what/WP the/DT topic/NN was/VBD","{F Uh, } I was just now told that's what the topic was /"
sv,B,"and/CC ,/, uh/UH ,/, I/PRP guess/VBP invasion/NN of/IN privacy/NN ,/, uh/UH ,/, to/IN me/PRP ,/, for/IN example/NN would/MD be/VB unauthorized/JJ use/NN of/IN credit/NN cards/NNS --/:","{C and, } {F uh, } I guess invasion of privacy, {F uh, } to me, for example would be unauthorized use of credit cards --"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,--/: for/IN example/NN ./.,-- for example. /
sd,B,"And/CC ,/, uh/UH ,/, I/PRP guess/VBP recently/RB one/CD of/IN the/DT T/NN V/NN stations/NNS here/RB ,/, uh/UH ,/, ran/VBD a/DT series/NN of/IN ,/, uh/UH ,/, news/NN casts/NNS on/IN unauthorized/JJ credit/NN card/NN usage/NN and/CC how/WRB easy/JJ it/PRP was/VBD to/TO get/VB a/DT person/NN 's/POS credit/NN card/NN numbers/NNS ./.","{C And, } {F uh, } I guess recently one of the T V stations here, {F uh, } ran a series of, {F uh, } news casts on unauthorized credit card usage and how easy it was to get a person's credit card numbers."
sv,A,It/PRP 's/BES very/RB easy/JJ ./.,It's very easy. /
+,B,And/CC use/VB it/PRP,And use it /
sd,B,and/CC I/PRP was/VBD quite/RB surprised/JJ at/IN that/DT ./.,{C and } I was quite surprised at that. /
sd,B,"I/PRP guess/VBP I/PRP can/MD consider/VB myself/PRP fortunate/JJ that/IN ,/, uh/UH ,/, it/PRP never/RB happened/VBD to/IN me/PRP ./.","I guess I can consider myself fortunate that, {F uh, } it never happened to me. /"
sd,A,"Now/UH ,/, I/PRP 've/VBP never/RB ,/,","{D Now, } [ I've never, +"
sd,B,I/PRP do/VBP n't/RB know/VB what/WP I/PRP 'd/MD really/RB do/VB if/IN it/PRP did/VBD ./.,I don't know what I'd really do if it did. /
+,A,I/PRP 've/VBP never/RB had/VBN that/DT happen/VB to/IN me/PRP either/RB ./.,I've never ] had that happen to me either. /
qo,A,"What/WP do/VBP you/PRP think/VB about/IN places/NNS ,/,","What do you think about places, - /"
sd,A,"like/UH I/PRP was/VBD in/IN Michael/NNP 's/POS the/DT other/JJ night/NN and/CC charged/VBD something/NN ,/,","{D like } I was in Michael's the other night and charged something, /"
sd,A,"and/CC they/PRP asked/VBD for/IN my/PRP$ home/NN phone/NN even/RB though/IN ,/, you/PRP know/VBP ,/, the/DT charge/NN had/VBD been/VBN approved/VBN ./.","{C and } they asked for my home phone even though, {D you know, } the charge had been approved. /"
qo,A,What/WP do/VBP you/PRP think/VB of/IN that/DT ?/.,What do you think of that? /
^h,B,"Uh/UH ,/,","{F Uh, } /"
qy,A,Does/VBZ it/PRP bother/VB you/PRP to/TO give/VB it/PRP ?/.,Does it bother you to give it? /
nn,B,"No/UH ,/,","No, /"
sd,B,not/RB really/RB because/IN I/PRP 'm/VBP listed/JJ in/IN the/DT phone/NN book/NN ./.,not really because I'm listed in the phone book. /
sd,B,"If/IN I/PRP was/VBD the/DT type/NN of/IN individual/JJ that/WDT ,/, uh/UH ,/, had/VBD an/DT unlisted/JJ number/NN ,/, I/PRP ,/, I/PRP think/VBP I/PRP would/MD be/VB hesitant/JJ to/TO give/VB it/PRP ./.","If I was the type of individual that, {F uh, } had an unlisted number, [ I, + I ] think I would be hesitant to give it. /"
sd,A,"You/PRP know/VBP that/IN they/PRP ,/, they/PRP now/RB have/VBP a/DT ,/, uh/UH ,/, I/PRP believe/VBP it/PRP 's/BES a/DT federal/JJ law/NN that/IN you/PRP do/VBP not/RB have/VB to/TO give/VB your/PRP$ phone/NN number/NN on/IN charge/NN tickets/NNS ./.","You know that [ [ they, + they ] now have a, + {F uh, } I believe it's a ] federal law that you do not have to give your phone number on charge tickets. /"
sd,B,"One/CD of/IN the/DT things/NNS that/WDT upset/VBD me/PRP when/WRB I/PRP lived/VBD in/IN California/NNP was/VBD ,/, uh/UH ,/, they/PRP did/VBD a/DT lot/NN of/IN things/NNS with/IN s-/XX ,/, your/PRP$ Social/NNP Security/NNP number/NN ./.","One of the things that upset me when I lived in California was, {F uh, } they did a lot of things with [ s-, + your Social ] Security number. /"
b,A,"Security/NNP number/NN ,/,","Security number, /"
b,A,uh-huh/UH ./.,uh-huh. /
sd,B,"As/IN a/DT matter/NN of/IN fact/NN ,/, they/PRP even/RB went/VBD to/IN the/DT point/NN of/IN printing/VBG our/PRP$ Social/NNP Security/NNP number/NN on/IN your/PRP$ driver/NN 's/POS license/NN ./.","As a matter of fact, they even went to the point of printing our Social Security number on your driver's license. /"
b,A,Oh/UH ./.,Oh. /
sd,B,"And/CC they/PRP would/MD not/RB cash/VB checks/NNS unless/IN they/PRP had/VBD your/PRP$ Social/NNP Security/NNP number/NN ,/,","{C And } they would not cash checks unless they had your Social Security number, /"
sd,B,so/RB we/PRP had/VBD our/PRP$ Social/NNP Security/NNP numbers/NNS imprinted/VBN on/IN our/PRP$ checks/NNS ./.,{C so } we had our Social Security numbers imprinted on our checks. /
b,A,"Uh/UH ,/, uh-huh/UH ./.","{F Uh, } uh-huh. /"
sd,B,"And/CC I/PRP was/VBD really/RB ,/, you/PRP know/VBP ,/, unhappy/JJ about/IN that/DT situation/NN ./.","{C And } I was really, {D you know, } unhappy about that situation. /"
sv,B,I/PRP think/VBP that/DT was/VBD an/DT invasion/NN of/IN privacy/NN ./.,I think that was an invasion of privacy. /
b^m,A,"Privacy/NN ,/,","Privacy, /"
aa,A,"yes/UH ,/,","yes, /"
aa,A,yes/UH ./.,yes. /
aa,A,"I/PRP can/MD see/VB ,/, you/PRP know/VBP ,/, where/WRB that/DT was/VBD ./.","I can see, {D you know, } where that was. /"
sd,A,"I/PRP ,/, I/PRP do/VBP n't/RB mind/VB my/PRP$ phone/NN number/NN and/CC address/NN or/CC work/NN phone/NN being/VBG given/VBN ,/, you/PRP know/VBP ,/, when/WRB I/PRP have/VBP to/TO cash/VB a/DT check/NN ./.","[ I, + I ] don't mind my phone number and address or work phone being given, {D you know, } when I have to cash a check. /"
sd,A,"I/PRP do/VBP n't/RB see/VB any/DT need/NN for/IN it/PRP when/WRB I/PRP 'm/VBP charging/VBG something/NN ,/,","I don't see any need for it when I'm charging something, /"
sd,A,"but/CC I/PRP ,/, neither/RB am/VBP I/PRP a/DT person/NN that/WDT has/VBZ the/DT guts/NNS to/TO say/VB ,/, no/UH ,/,","{C but } [ I, + neither am I ] a person that <laughter> has the guts to say, no, /"
^q,A,"I/PRP 'm/VBP not/RB going/VBG to/TO give/VB it/PRP to/IN you/PRP ,/, either/RB ./.","I'm not going to give it to you, either <laughter>. /"
b,B,Right/UH ./.,Right. /
%,A,"You/PRP know/VBP ,/, and/CC ,/, uh/UH ,/,","{D You know, } {C and, } {F uh, } -/"
sv,B,"One/CD of/IN the/DT biggest/JJS things/NNS ,/, I/PRP think/VBP that/DT 's/BES going/VBG on/RP in/IN this/DT country/NN right/RB now/RB is/VBZ the/DT selling/VBG of/IN ,/, uh/UH ,/, mail/NN lists/NNS and/CC things/NNS like/IN that/DT ./.","One of the biggest things, I think that's going on in this country right now is the selling of, {F uh, } mail lists and things like that. /"
aa,A,"Yes/UH ,/,","Yes, /"
aa,A,yes/UH ./.,yes. /
sd,B,"You/PRP know/VBP ,/, uh/UH ,/, recently/RB we/PRP ,/, uh/UH ,/, I/PRP purchased/VBD some/DT magazines/NNS ,/, U/NNP S/NNP NEWS/NNP --/:","{D You know, } {F uh, } recently [ we, + {F uh, } I ] purchased some magazines, U S NEWS --"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,--/: and/CC FORBES/NNP magazine/NN ./.,-- and FORBES magazine. /
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"And/CC every/RB since/IN that/DT day/NN ,/, I/PRP have/VBP been/VBN inundated/VBN with/IN ,/, you/PRP know/VBP ,/, uh/UH ,/, subscriptions/NNS to/IN this/DT ,/, subscriptions/NNS to/IN that/DT ,/, uh/UH ,/, this/DT news/NN letter/NN ,/, this/DT investment/NN letter/NN ,/, uh/UH ,/, even/RB to/IN the/DT point/NN of/IN people/NNS calling/VBG me/PRP at/IN home/NN ./.","{C And } every since that day, I have been inundated with, {D you know, } {F uh, } subscriptions to this, subscriptions to that, {F uh, } this news letter, this investment letter, {F uh, } even to the point of people calling me at home. /"
sd,B,"And/CC prior/IN to/IN me/PRP ordering/VBG these/DT magazines/NNS ,/, I/PRP never/RB got/VBD those/DT kind/NN of/IN calls/NNS ./.","{C And } prior to me ordering these magazines, I never got those kind of calls. /"
b,A,"Right/UH ,/,","Right, /"
b,A,right/UH ./.,right. /
%,B,"And/CC ,/,","{C And, } -/"
