act_tag,speaker,pos,text
qw,B,"Uh/UH ,/, well/UH what/WP would/MD you/PRP say/VB your/PRP$ opinion/NN is/VBZ on/IN gun/NN control/NN ?/.","<TV> {F Uh, } {D well } what would you say your opinion is on gun control? /"
h,A,"Well/UH ,/, I/PRP do/VBP n't/RB know/VB ./.","{D Well, } I don't know. /"
sd,A,"I/PRP 've/VBP ,/, I/PRP 've/VBP had/VBN mixed/JJ emotions/NNS ,/, I/PRP guess/VBP ,/, when/WRB I/PRP listen/VBP to/IN ,/, uh/UH ,/, the/DT radio/NN and/CC ,/, and/CC watch/VBP T/GW V/^NN about/IN the/DT different/JJ ,/, uh/UH ,/, things/NNS that/WDT are/VBP happening/VBG ./.","[ I've, + I've ] had mixed emotions, I guess, when I listen to, {F uh, } the radio [ and, + and ] watch T V about the different, {F uh, } things that are happening. /"
sd,A,"Uh/UH ,/, I/PRP 'm/VBP against/IN it/PRP","{F Uh, } I'm against it /"
sd,A,"but/CC on/IN the/DT same/JJ token/NN ,/, uh/UH ,/, I/PRP went/VBD out/RB and/CC purchased/VBD a/DT gun/NN just/RB because/IN I/PRP wanted/VBD the/DT right/NN to/TO do/VB that/DT ./.","{C but } on the same token, {F uh, } I went out and purchased a gun just because I wanted the right to do that <laughter>. /"
%,B,"Ye-/UH ,/,","(( Ye-, )) -/"
sd,A,"So/RB I/PRP ,/, I/PRP have/VBP a/DT rifle/NN in/IN the/DT house/NN ./.","{C So } [ I, + I ] have a rifle in the house. /"
sd,A,"Uh/UH ,/, the/DT ammunition/NN is/VBZ probably/RB so/RB old/JJ I/PRP 'm/VBP afraid/JJ to/TO use/VB it/PRP ./.","{F Uh, } the ammunition is probably so old I'm afraid to use it. /"
sd,A,"But/CC ,/, uh/UH ,/, I/PRP bought/VBD it/PRP for/IN target/NN practicing/NN and/CC ,/, uh/UH ,/, and/CC also/RB because/IN I/PRP wanted/VBD a/DT weapon/NN ./.","{C But, } {F uh, } I bought it for target practicing [ and, + {F uh, } and ] also because I wanted a weapon. /"
qo,A,"Uh/UH ,/, how/WRB do/VBP you/PRP feel/VB about/IN it/PRP ?/.","{F Uh, } how do you feel about it? /"
sv,B,"Well/UH ,/, I/PRP think/VBP ,/, uh/UH ,/, down/IN here/RB in/IN Texas/NNP they/PRP do/VBP n't/RB have/VB a/DT waiting/NN period/NN on/IN handguns/NNS ./.","{D Well, } I think, {F uh, } down here in Texas they don't have a waiting period on handguns. /"
%,A,Huh/UH ./.,{F Huh. } /
sv,B,"And/CC ,/, I/PRP think/VBP they/PRP need/VBP that/DT ./.","{C And, } I think they need that. /"
sd,B,"Uh/UH ,/, and/CC I/PRP do/VBP have/VB a/DT ,/, I/PRP have/VBP a/DT pistol/NN ./.","{F Uh, } {C and } [ I do have a, + I have a ] pistol. /"
sd,B,It/PRP 's/BES a/DT little/JJ twenty-two/CD,It's a little twenty-two /
sd,B,and/CC I/PRP have/VBP a/DT twenty-two/CD or/CC a/DT twelve/CD gauge/NN shotgun/NN ./.,{C and } I have a twenty-two or a twelve gauge shotgun. /
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"An-/^CC ,/, you/PRP know/VBP ,/, I/PRP do/VBP like/VB to/TO have/VB my/PRP$ guns/NNS ./.","{C An-, } {D you know, } I do like to have my guns. /"
x,A,,<Laughter>.
sd,B,"Uh/UH ,/, I/PRP do/VBP n't/RB know/VB if/IN I/PRP 'll/MD ever/RB use/VB it/PRP ,/, you/PRP know/VBP ./.","{F Uh, } I don't know if I'll ever use it, {D you know. } /"
sd,B,"And/CC like/IN you/PRP ,/, my/PRP$ bullets/NNS to/IN my/PRP$ little/JJ pistol/NN 's/BES probably/RB ,/, uh/UH ,/, about/RB three/CD years/NNS old/JJ ./.","{C And } like you, my bullets to my little pistol's probably, {F uh, } about three years old <sniffing> <child>. /"
sd,B,"Uh/UH ,/, my/PRP$ gun/NN has/VBZ n't/RB been/VBN shot/VBN in/IN a/DT year/NN or/CC two/CD ./.","{F Uh, } my gun hasn't been shot in a year or two. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,"But/CC ,/, uh/UH ,/, I/PRP like/VBP to/TO have/VB them/PRP where/WRB handy/JJ ./.","<Swallowing> {C But, } {F uh, } I like to have them [ where + ] <child_crying> handy. /"
sd,A,"Well/UH ,/, up/IN ,/, uh/UH ,/, up/IN in/IN New/NNP England/NNP where/WRB I/PRP 'm/VBP from/IN ,/, uh/UH ,/, you/PRP had/VBD to/TO get/VB a/DT permit/NN before/IN you/PRP could/MD buy/VB any/DT amu-/NN ,/, am-/NN ,/, ammunition/NN ./.","{D Well, } [ up, + {F uh, } up ] in New England where I'm from, {F uh, } you had to get a permit before you could buy any [ [ amu-, + am-, ] + ammunition. ] /"
sv,A,And/CC I/PRP thought/VBD that/DT was/VBD really/RB good/JJ ./.,{C And } I thought that was really good. /
sv,A,"And/CC I/PRP think/VBP if/IN they/PRP ,/, uh/UH ,/,","{C And } I think if they, {F uh, } -/"
x,B,,<Child_talking>.
sd,A,"takes/VBZ two/CD weeks/NNS for/IN that/DT system/NN to/TO process/VB ,/, uh/UH ,/, your/PRP$ request/NN for/IN ,/, uh/UH ,/, not/RB as/IN a/DT gun/NN permit/NN but/CC ,/, uh/UH ,/, but/CC to/TO buy/VB ammunition/NN ./.","takes two weeks for that system to process, {F uh, } your request [ for, + ] {F uh, } not as a gun permit [ but, + {F uh, } but ] to buy ammunition. /"
sd,A,You/PRP have/VBP to/TO get/VB a/DT permit/NN from/IN the/DT police/NN station/NN in/IN your/PRP$ local/JJ area/NN to/TO do/VB that/DT ./.,You have to get a permit from the police station in your local area to do that. /
sd,B,I/PRP 've/VBP never/RB heard/VBN of/IN anything/NN like/IN that/DT ./.,<Child_talking> I've never heard of anything like that. /
