act_tag,speaker,pos,text
sd,A,"Basically/RB ,/, uh/UH ,/, my/PRP$ husband/NN and/CC myself/PRP use/VBP the/DT credit/NN cards/NNS in/IN regards/NNS to/IN major/JJ purchases/NNS ./.","Basically, {F uh, } my husband and myself use the credit cards in regards to major purchases. /"
sd,A,We/PRP really/RB do/VBP n't/RB get/VB into/IN small/JJ little/JJ purchases/NNS ./.,We really don't get into small little purchases. /
sd,A,"If/IN we/PRP 're/VBP going/VBG to/TO purchase/VB something/NN quite/RB large/JJ we/PRP might/MD put/VB it/PRP on/IN a/DT credit/NN card/NN ,/,","If we're going to purchase something quite large we might put it on a credit card, /"
sd,A,"but/CC ,/, other/JJ than/IN that/DT it/PRP 's/BES not/RB something/NN that/WDT we/PRP use/VBP a/DT lot/NN of/IN ./.","{C but, } other than that it's not something that we use a lot of. /"
sd,A,"Uh/UH ,/, we/PRP may/MD have/VB only/RB two/CD or/CC three/CD versus/IN ,/, uh/UH ,/, I/PRP know/VBP a/DT lot/NN of/IN people/NNS have/VBP up/IN to/IN a/DT half/PDT a/DT dozen/NN or/CC ,/, uh/UH ,/, up/IN to/IN a/DT dozen/NN credit/NN cards/NNS ,/,","{F Uh, } we may have only two or three versus, {F uh, } I know a lot of people have up to a half a dozen or, {F uh, } up to a dozen credit cards, /"
sd,A,"but/CC ,/, uh/UH ,/, ours/PRP are/VBP just/RB major/JJ credit/NN cards/NNS that/WDT we/PRP have/VBP and/CC ,/, uh/UH ,/, use/VBP ,/, uh/UH ,/, use/VBP only/RB when/WRB ,/, when/WRB we/PRP feel/VBP it/PRP 's/BES necessary/JJ to/TO make/VB a/DT big/JJ purchase/NN ./.","{C but, } {F uh, } ours are just major credit cards that we have and, {F uh, } [ use, + {F uh, } use ] only [ when + <noise>, when ] we feel it's necessary to make a big purchase. /"
b,B,"Yeah/UH ,/,","Yeah, /"
qy,B,is/VBZ that/DT like/IN Visa/NNP and/CC --/:,is that like Visa [ and + --
ny,A,Yeah/UH ./.,Yeah. /
+,B,--/: and/CC Mastercard/NNP ./.,-- and ] Mastercard. /
ny,A,Yeah/UH ./.,Yeah. /
qy,B,"Do/VBP you/PRP have/VB department/NN store/NN credit/NN cards/NNS too/RB ,/,","Do you have department store credit cards too, /"
%,B,"or/CC ,/,","{C or, } -/"
ny,A,"Uh/UH ,/, yeah/UH ,/,","{F Uh, } yeah, /"
sd,A,one/CD Sears/NNP ./.,one Sears. /
b,B,Uh-huh/UH ./.,Uh-huh. /
sd,A,"Sears/NNP is/VBZ pretty/RB major/JJ with/IN us/PRP simply/RB because/IN we/PRP do/VBP ,/, uh/UH ,/,","Sears is pretty major with us simply because we do, {F uh, }"
^2,B,Appliances/NNS ./.,Appliances. /
+,A,Appliances/NNS and/CC things/NNS like/IN that/DT,Appliances and things like that /
sv,A,and/CC they/PRP 're/VBP real/RB good/JJ with/IN their/PRP$ appliance/NN and/CC stuff/NN like/IN that/DT,{C and } they're real good with their appliance and stuff like that /
%,A,"so/RB ,/,","{C so, } -/"
b,B,Yeah/UH ./.,Yeah. /
sd,A,"But/CC ,/, uh/UH ,/, we/PRP try/VBP to/TO avoid/VB them/PRP with/IN a/DT passion/NN because/IN of/IN the/DT percent/NN of/IN interest/NN rate/NN ./.","{C But, } {F uh, } we try to avoid them with a passion because of the percent of interest rate. /"
sv,A,"If/IN you/PRP 've/VBP got/VBN the/DT cash/NN to/TO pay/VB for/IN something/NN ,/, it/PRP 's/BES better/JJR to/TO do/VB it/PRP that/DT way/NN than/IN versus/IN credit/NN cards/NNS ,/, unless/IN it/PRP 's/BES a/DT small/JJ enough/JJ sum/NN that/WDT you/PRP can/MD do/VB it/PRP within/IN a/DT two/CD ,/, three/CD month/NN period/NN ,/,","If you've got the cash to pay for something, it's better to do it that way than versus credit cards, unless it's a small enough sum that you can do it within a two, three month period, /"
sv,A,but/CC --/:,{C but } --
b,B,Yeah/UH ./.,Yeah. /
+,A,"--/: if/IN it/PRP 's/BES ,/, uh/UH ,/, any/DT large/JJ purchases/NNS ,/, uh/UH ,/, you/PRP 've/VBP got/VBN to/TO kind/RB of/RB think/VBP about/IN ,/, uh/UH ,/, how/WRB much/JJ you/PRP 're/VBP going/VBG to/TO put/VB down/RB as/RB far/RB as/IN ,/, uh/UH ,/, payments/NNS on/IN it/PRP so/IN that/IN you/PRP 're/VBP not/RB getting/VBG eighteen/CD percent/NN or/CC --/:","-- if it's, {F uh, } any large purchases, {F uh, } you've got to kind of think about, {F uh, } how much you're going to put down as far as, {F uh, } payments on it so that you're not getting eighteen percent or --"
b,B,Right/UH ./.,Right <throat_clearing>. /
+,A,"--/: twenty/CD percent/NN interest/NN taken/VBN off/IN ,/,","-- twenty percent interest taken off, /"
%,A,"so/RB ,/,","{C so, } -/"
sd,B,"My/PRP$ ,/, my/PRP$ husband/NN and/CC I/PRP do/VBP basically/RB the/DT same/JJ thing/NN ,/,","[ My, + my ] husband and I do basically the same thing, /"
sd,B,"but/CC we/PRP ,/, we/PRP end/VBP up/RP sneaking/VBG a/DT few/NN in/IN there/RB that/WDT surprise/VBP us/PRP ./.","{C but } [ we, + we ] end up sneaking a few in there that surprise us. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
sd,B,We/PRP still/RB pay/VBP it/PRP off/RP every/DT month/NN --/:,We still pay it off every month --
b,A,Yeah/UH ./.,Yeah. /
+,B,--/: if/IN it/PRP kills/VBZ us/PRP ./.,-- if it kills us <laughter>. /
b,A,"Yeah/UH ,/,","Yeah, /"
b,A,yeah/UH ./.,yeah. /
sd,B,"But/CC ,/, we/PRP do/VBP it/PRP mainly/RB for/IN ,/, you/PRP know/VBP ,/, the/DT cash/NN flow/NN ,/,","{C But, } we do it mainly for, {D you know, } the cash flow, /"
t1,B,"what/WP is/VBZ that/DT ,/, oh/UH ,/, float/NN ./.","what is that, {F oh, } float. - /"
sd,B,"That/DT 's/BES the/DT word/NN ,/, float/NN ./.","That's the word, float. /"
b,A,Uh-huh/UH ./.,Uh-huh. /
b,A,"Sure/UH ,/,","Sure, /"
b,A,sure/UH ./.,sure. /
sd,B,"And/CC ,/, I/PRP often/RB will/MD keep/VB tra-/NN ,/, track/NN of/IN what/WP I/PRP 've/VBP charged/VBN and/CC sometimes/RB deduct/VB it/PRP from/IN my/PRP$ checkbook/NN --/:","{C And, } I often will keep [ tra-, + track ] of what I've charged and sometimes deduct it from my checkbook --"
b,A,Uh-huh/UH ./.,Uh-huh. /
+,B,--/: already/RB ./.,-- already. /
b,A,"Sure/UH ,/,","Sure, /"
%,A,so/RB you/PRP know/VBP ./.,{C so } you know. /
%,B,"And/CC sometimes/RB just/RB ,/,","{C And } sometimes just, - /"
sd,B,and/CC keep/VB a/DT list/NN and/CC make/VB sure/JJ I/PRP --/:,{C and } keep a list and make sure [ I + <baby_crying> --
b,A,Sure/UH ./.,Sure. /
b,A,Yeah/UH ./.,Yeah. /
aa,A,Exactly/UH ./.,Exactly. /
b,B,Oh/UH ./.,Oh. /
aa,A,Exactly/UH ./.,Exactly <noise>. /
sd,B,"If/IN we/PRP go/VBP out/IN to/IN a/DT restaurant/NN ,/, oh/UH ,/, just/RB to/TO float/VB it/PRP ,/,","If we go out to a restaurant, {F oh, } just to float it, /"
h,B,"or/CC ,/, I/PRP do/VBP n't/RB know/VB ./.","{C or, } I don't know. /"
sv,A,"Or/CC ,/, if/IN it/PRP 's/BES a/DT business/NN transaction/NN --/:","{C Or, } if it's a business transaction --"
b,B,Yeah/UH ./.,Yeah. /
+,A,"--/: a/DT lot/NN of/IN times/NNS that/DT 's/BES important/JJ ,/, too/RB --/:","-- a lot of times that's important, too --"
b,B,"Yes/UH ,/,","Yes, /"
sd,B,"my/PRP$ husband/NN has/VBZ a/DT ,/, a/DT ,/,","my husband has [ a, + a, ] -/"
+,A,--/: to/TO keep/VB a/DT better/JJR receipt/NN of/IN it/PRP ./.,-- to keep a better receipt of it. /
%,A,"So/RB ,/, yeah/UH ./.","{C So, } yeah. /"
